Mã HP,Tên HP,Điểm,Số TC
AC231A,Kế toán Mỹ 1,5.5,2
AC231B,Kế toán Mỹ 2,9.9,2
AC341A,Kế toán quản trị 1,8.5,2
BK321,Thanh toán quốc tế,6.0,3
EC203A,Kinh tế vĩ mô 1,6.0,2
EC203B,Kinh tế vĩ mô 2,5.8,2
FN211,Tài chính doanh nghiệp,5.7,3
GE100,Tiếng Anh cho người mới bắt đầu,6.5,2
GE101A,Tiếng Anh sơ cấp 1,5.5,2
GE102A,Tiếng Anh sơ cấp 2,6.3,2
GE201A,Tiếng Anh sơ trung cấp 1,5.2,2
GE202A,Tiếng Anh sơ trung cấp 2,6.0,2
GF101,Tiếng Pháp 1,6.2,2
GF102,Tiếng Pháp 2,5.0,2
IS201A,Tin quản lý 1A,6.1,2
IS201B,Tin quản lý 2,6.5,2
IS202A,Lập trình quản lý 1,8.0,2
IS202B,Lập trình quản lý 2,7.5,2
MA100A,Toán 1,5.0,2
MA142A,Đại số tuyến tính,5.0,2
MA142B,Giải tích trong kinh tế,5.0,2
MA231A,Thống kê 1,7.0,2
MA231B,Thống kê 2,5.0,2
ML111,Triết học Mác – Lênin,5.0,2
ML112A,Kinh tế chính trị,5.0,3
ML112B,Chủ nghĩa xã hội khoa học,6.0,2
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,7.0,2
PG100A,Giáo dục thể chất,7.5,4
PG121,Giáo dục quốc phòng,5.0,4
SH121,Địa lý kinh tế,5.0,2
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,5.0,3
AC211,Kế toán tài chính 1,8.0,3
AC212,Kế toán tài chính 2,7.5,3
AC315,Kế toán công,5.5,2
AC316,Kế toán tài chính 3,7.3,3
AC317,Tổ chức hạch toán kế toán,6.0,3
AC333,Kế toán Mỹ 2,7.0,3
AC341B,Kế toán quản trị 2,5.0,2
AC361A,Lý thuyết kiểm toán,7.5,2
AC361B,Nghiệp vụ kiểm toán,7.0,2
BA101,Quản trị học,5.7,2
BA211,Quản trị tác nghiệp,6.7,3
BA221,Phân tích và lập dự án đầu tư,7.3,2
BA315,Văn hóa kinh doanh,-1.0,3
BA325,Nghiệp vụ xuất nhập khẩu,5.0,2
BK201,Ngân hàng thương mại 1,8.5,3
BK409A,CĐTN: Hoạt động tín dụng trong NHTM,8.0,2
EC205,Kinh tế vĩ mô,7.5,3
EC311,Mô hình kinh tế,7.5,2
EC312,Kinh tế lượng,7.5,3
FN201,Tài chính tiền tệ căn bản,6.0,3
FN212,Quản trị tài chính doanh nghiệp 1,9.5,3
FN221,Tài chính công,6.5,2
FN313,Quản trị tài chính doanh nghiệp 2,9.0,3
FN331,Thị trường chứng khoán,6.8,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
MA241,Toán tài chính,7.0,2
MI312,Đồ họa,-1.0,2
MK201,Nguyên lý marketing,5.4,2
MK419A,CĐTN: Marketing quốc tế,5.5,2
PE221,Tiếng Anh doanh nghiệp 1A,5.2,2
PE322,Tiếng Anh doanh nghiệp 1B,5.4,2
