Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.6,2
CS110,Kỹ thuật số,4.0,2
CS121,Ngôn ngữ lập trình,3.7,3
CS122,Lập trình hướng đối tượng,7.0,3
CS212,Kiến trúc máy tính,0.0,3
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,6.5,2
GE121,Tiếng Anh sơ trung cấp 1,5.0,2
GE222,Tiếng Anh sơ trung cấp 2,6.2,2
GE231,Tiếng Anh trung cấp 1,7.4,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GF101,Tiếng Pháp 1,4.0,2
GF102,Tiếng Pháp 2,0.0,2
IS222,Cơ sở dữ liệu,6.9,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
MA104,Số và cấu trúc đại số,4.0,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,0.0,3
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,8.8,3
ML114,Kinh tế chính trị Mác - Lênin,7.5,2
ML115,Chủ nghĩa xã hội khoa học,9.7,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,4.0,2
SH131,Pháp luật đại cương,7.9,2
VL101,Tiếng Việt thực hành,9.0,2
