Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,2.4,4
CS100,Tin đại cương,8.0,2
CS101,Công dân số,10.0,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,4.0,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,9.0,2
GE103,Tiếng Anh sơ cấp 3,7.9,2
GE201,Tiếng Anh sơ trung cấp 1,7.8,2
GE202,Tiếng Anh sơ trung cấp 2,7.9,2
GE205,Tiếng Anh sơ trung cấp 3,6.5,2
GE301,Tiếng Anh trung cấp 1,8.7,2
GE303,Tiếng Anh trung cấp 2,7.7,2
GE305,Tiếng Anh trung cấp 3,6.5,2
GJ101,Tiếng Nhật 1,6.8,2
GJ102,Tiếng Nhật 2,5.4,2
IS314,Hệ thống thông tin,8.0,3
IS325,Cơ sở dữ liệu phân tán,1.2,2
IS330,Dữ liệu lớn,8.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.5,3
MA104,Số và cấu trúc đại số,5.5,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,6.9,3
ML113,Triết học Mác - Lênin,9.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.6,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,9.4,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,8.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,1.8,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,9.0,1
PG115,GDTC: Bóng chuyền cơ bản,6.0,1
PG118,GDTC: Thể dục cơ bản,5.8,1
PG121,Giáo dục quốc phòng,6.1,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.1,3
SH131,Pháp luật đại cương,9.6,2
AD215,Ứng dụng PowerPoint,7.6,3
AD216,Kỹ năng sống,10.0,3
CF211,Phân tích và thiết kế thuật toán,10.0,2
CF212,Cấu trúc dữ liệu,1.5,3
CS110,Kỹ thuật số,4.0,2
CS212,Kiến trúc máy tính,4.8,3
CS223,Lập trình Java,9.0,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS321,Nhập môn khoa học dữ liệu,5.4,2
IM206,ứng dụng Excel,2.8,2
IS222,Cơ sở dữ liệu,4.5,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.9,3
IS345,An toàn thông tin,2.6,3
MA110,Giải tích 1,7.4,3
MA111,Giải tích 2,3.7,3
MA120,Đại số tuyến tính,5.8,3
MA231,Xác suất thống kê ứng dụng,2.9,4
MI201,Toán rời rạc,5.3,3
MI312,Đồ họa,5.4,2
NW212,Mạng máy tính,5.6,2
SE302,Công nghệ phần mềm,8.1,2
