Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,6.9,2
CS102,Công dân số,6.4,2
CS121,Ngôn ngữ lập trình,6.1,3
CS122,Lập trình hướng đối tượng,5.3,3
EC102,Nhập môn kinh tế học,9.0,2
GE101,Tiếng Anh sơ cấp 1,8.1,2
GE102,Tiếng Anh sơ cấp 2,6.0,2
GE103,Tiếng Anh sơ cấp 3,6.1,2
GE121,Tiếng Anh sơ trung cấp 1,0.0,2
GZ101,Tiếng Trung 1,6.7,2
IS314,Hệ thống thông tin,0.0,3
IS330,Dữ liệu lớn,8.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.2,3
MA104,Số và cấu trúc đại số,0.0,3
MA239,Xác suất thống kê,0.0,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.2,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,7.8,2
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML204,Lịch sử Đảng,8.2,2
NA151,Khoa học môi trường,8.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,4.2,1
PG121,Giáo dục quốc phòng,6.0,4
SH131,Pháp luật đại cương,8.0,2
VL101,Tiếng Việt thực hành,8.4,2
CF212,Cấu trúc dữ liệu,0.0,3
CS110,Kỹ thuật số,8.1,2
CS212,Kiến trúc máy tính,6.3,3
CS223,Lập trình Java,10.0,3
CS315,Nguyên lý hệ điều hành,6.4,3
CS321,Nhập môn khoa học dữ liệu,8.2,2
IM206,ứng dụng Excel,-1.0,2
IS222,Cơ sở dữ liệu,5.2,3
IS322,Hệ quản trị cơ sở dữ liệu,6.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.8,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,6.5,3
MI201,Toán rời rạc,5.4,3
NW212,Mạng máy tính,5.2,2
SE302,Công nghệ phần mềm,9.7,2
