Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.2,2
CS102,Công dân số,0.0,2
CS121,Ngôn ngữ lập trình,9.7,3
CS122,Lập trình hướng đối tượng,7.4,3
EC102,Nhập môn kinh tế học,7.7,2
GE111,Tiếng Anh sơ cấp 1,6.6,2
GE112,Tiếng Anh sơ cấp 2,6.1,2
GE121,Tiếng Anh sơ trung cấp 1,6.0,2
GE222,Tiếng Anh sơ trung cấp 2,5.4,2
GF101,Tiếng Pháp 1,5.8,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.5,3
ML113,Triết học Mác - Lênin,8.6,3
ML114,Kinh tế chính trị Mác - Lênin,7.1,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.1,2
NA151,Khoa học môi trường,7.6,2
PG113,GDTC: Bóng rổ cơ bản,4.5,1
PG118,GDTC: Thể dục cơ bản,5.9,1
PG121,Giáo dục quốc phòng,7.0,4
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,6.3,2
CS110,Kỹ thuật số,5.1,2
CS212,Kiến trúc máy tính,5.8,3
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,10.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,3.8,3
MA120,Đại số tuyến tính,5.3,3
MI201,Toán rời rạc,0.0,3
NW212,Mạng máy tính,0.0,2
