Mã HP,Tên HP,Điểm,Số TC
CF321A,Xử lý tín hiệu số,7.3,2
CS100,Tin đại cương,7.3,2
CS121,Ngôn ngữ lập trình,5.4,3
CS122,Lập trình hướng đối tượng,7.1,3
EC102,Nhập môn kinh tế học,6.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.4,2
GE101A,Tiếng Anh sơ cấp 1,5.0,2
GE102A,Tiếng Anh sơ cấp 2,5.2,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GE301,Tiếng Anh trung cấp 1,5.0,2
GE305,Tiếng Anh trung cấp 3,-1.0,2
GZ101,Tiếng Trung 1,8.9,2
GZ102,Tiếng Trung 2,9.6,2
IM001,Kỹ năng CNTT cơ bản,8.3,0
IM201,Kỹ năng soạn thảo VB (MS office),6.9,3
IP402A,TT ngành Truyền thông và mạng máy tính,7.2,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.9,3
MA103,Số và cấu trúc đại số,9.0,2
MA300,Toán chuyên ngành truyền thông dữ liệu,8.4,3
ML111,Triết học Mác – Lênin,7.5,2
ML112,Kinh tế chính trị và CNXH khoa học,6.8,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.3,3
NA151,Khoa học môi trường,6.7,2
PE304,Tiếng Anh trong tin học 1,1.9,2
PG100,Giáo dục thể chất,6.2,4
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,7.0,2
ST450,Toeic,2.2,3
TC313,Kỹ thuật truyền dẫn,5.6,3
TC316,An ninh mạng truyền thông,5.2,3
TC473,Quản lý mạng viễn thông,7.8,3
VL101,Tiếng Việt thực hành,8.0,2
AD204,Ẩm thực Việt nam,9.0,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.0,3
CF212,Cấu trúc dữ liệu,6.3,3
CF231,Lý thuyết thông tin và mã hóa,9.0,2
CS110,Kỹ thuật số,9.2,2
CS211,Vi điều khiển và ứng dụng,5.4,3
CS212,Kiến trúc máy tính,7.1,3
CS315,Nguyên lý hệ điều hành,7.3,3
CS316,Hệ điều hành Unix,7.0,3
ET220,Lý thuyết mạch,5.9,3
IS222,Cơ sở dữ liệu,5.2,3
IS333,Phân tích thiết kế hệ thống thông tin,6.1,2
MA110,Giải tích 1,5.2,3
MA111,Giải tích 2,5.1,3
MA120,Đại số tuyến tính,7.0,3
MA231,Xác suất thống kê ứng dụng,5.4,4
MI201,Toán rời rạc,5.4,3
NW212,Mạng máy tính,5.0,2
NW312,Thiết kế và quản trị mạng,8.0,3
PE404,Tiếng Anh trong tin học 2B,5.6,2
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
TC311,Kỹ thuật truyền tin,6.7,3
TC314,Kỹ thuật kết nối mạng,3.9,3
TC487,CĐTN : Truyền thông và mạng máy tính,8.6,6
