Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.3,2
CS100,Tin đại cương,7.1,2
CS121,Ngôn ngữ lập trình,6.2,3
CS122,Lập trình hướng đối tượng,1.9,3
EC102,Nhập môn kinh tế học,8.6,2
GE100,Tiếng Anh cho người mới bắt đầu,9.6,2
GE101A,Tiếng Anh sơ cấp 1,9.2,2
GE102A,Tiếng Anh sơ cấp 2,8.0,2
GE201A,Tiếng Anh sơ trung cấp 1,7.6,2
GE202A,Tiếng Anh sơ trung cấp 2,8.0,2
GJ101,Tiếng Nhật 1,9.4,2
GJ102,Tiếng Nhật 2,9.8,2
IM001,Kỹ năng CNTT cơ bản,5.3,0
IS314,Hệ thống thông tin,1.5,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",6.4,3
MA103,Số và cấu trúc đại số,5.8,2
ML111,Triết học Mác – Lênin,6.7,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,7.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,6.9,1
PG115,GDTC: Bóng chuyền cơ bản,5.7,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,6.4,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,-1.0,3
SH131,Pháp luật đại cương,5.1,2
VL101,Tiếng Việt thực hành,8.3,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.0,3
CF212,Cấu trúc dữ liệu,3.8,3
CF301,Ngôn ngữ hình thức và Otomat,8.6,3
CS110,Kỹ thuật số,8.6,2
CS212,Kiến trúc máy tính,6.5,3
CS224,Lập trình .Net,7.0,3
CS315,Nguyên lý hệ điều hành,7.3,3
IS222,Cơ sở dữ liệu,5.5,3
IS322,Hệ quản trị cơ sở dữ liệu,3.3,3
IS332,Phân tích thiết kế hướng đối tượng,4.2,3
MA110,Giải tích 1,9.0,3
MA111,Giải tích 2,5.6,3
MA120,Đại số tuyến tính,7.4,3
MA231,Xác suất thống kê ứng dụng,5.5,4
MI201,Toán rời rạc,8.3,3
MI312,Đồ họa,7.3,2
MI321,Trí tuệ nhân tạo,-1.0,3
MI414,Giao diện người máy,7.4,2
NW212,Mạng máy tính,5.1,2
PE201,Tiếng Anh trong tin học 1A,8.8,2
PE302,Tiếng Anh trong tin học 1B,9.3,2
PE303,Tiếng Anh trong tin học 2A,9.1,2
PE404,Tiếng Anh trong tin học 2B,7.9,2
SE302,Công nghệ phần mềm,1.5,2
SE380,Project,-1.0,3
SE422,Quản lý dự án phần mềm,1.8,3
SM201,Phương pháp luận nghiên cứu khoa học,5.3,3
