Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.2,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,7.4,3
CS122,Lập trình hướng đối tượng,1.2,3
EC101,Kinh tế học đại cương,6.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,6.0,2
GE102,Tiếng Anh sơ cấp 2,4.7,2
GE103,Tiếng Anh sơ cấp 3,6.3,2
GE201,Tiếng Anh sơ trung cấp 1,6.2,2
GE202,Tiếng Anh sơ trung cấp 2,6.1,2
GE205,Tiếng Anh sơ trung cấp 3,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,5.8,3
MA120,Đại số tuyến tính,2.2,3
ML113,Triết học Mác - Lênin,8.5,3
ML114,Kinh tế chính trị Mác - Lênin,8.3,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,6.6,2
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,7.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,7.4,2
VL101,Tiếng Việt thực hành,8.2,2
