Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,6.6,3
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.7,3
EC102,Nhập môn kinh tế học,4.1,2
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,10.0,2
GE102A,Tiếng Anh sơ cấp 2,8.4,2
GE201A,Tiếng Anh sơ trung cấp 1,8.8,2
GE202A,Tiếng Anh sơ trung cấp 2,8.0,2
GE301,Tiếng Anh trung cấp 1,8.6,2
GE303,Tiếng Anh trung cấp 2,3.3,2
GE305,Tiếng Anh trung cấp 3,7.8,2
GF101,Tiếng Pháp 1,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.9,3
MA103,Số và cấu trúc đại số,3.9,2
MA300,Toán chuyên ngành truyền thông dữ liệu,5.8,3
ML111,Triết học Mác – Lênin,5.1,2
ML112,Kinh tế chính trị và CNXH khoa học,4.1,3
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.3,3
NA151,Khoa học môi trường,6.0,2
PG106,GDTC: Bóng bàn cơ bản,4.3,1
PG110,GDTC: Bơi cơ bản,3.2,1
PG118,GDTC: Thể dục cơ bản,8.0,1
PG122,GDQP: Đường lối quân sự của Đảng,0.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.7,1
PG124,GDQP: Quân sự chung,5.3,1
PG125,GDQP: Kỹ thuật bắn súng,5.3,1
SH131,Pháp luật đại cương,5.9,2
TC300,Mô hình hóa và mô phỏng,-1.0,3
TC303,Thiết kế và quản trị truyền thông,8.2,3
TC313,Kỹ thuật truyền dẫn,-1.0,3
TC316,An ninh mạng truyền thông,7.1,3
TC418,Lập trình nhúng,9.0,2
TC473,Quản lý mạng viễn thông,-1.0,3
VL101,Tiếng Việt thực hành,7.6,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,5.0,3
CF212,Cấu trúc dữ liệu,3.8,3
CF231,Lý thuyết thông tin và mã hóa,-1.0,2
CF321,Xử lý tín hiệu số,5.0,3
CS110,Kỹ thuật số,5.0,2
CS212,Kiến trúc máy tính,6.6,3
CS315,Nguyên lý hệ điều hành,6.3,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,3.8,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,1.5,3
NW212,Mạng máy tính,5.8,2
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
TC314,Kỹ thuật kết nối mạng,5.7,3
