Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.3,2
CS102,Công dân số,6.5,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,1.3,3
EC102,Nhập môn kinh tế học,6.1,2
GE101,Tiếng Anh sơ cấp 1,6.7,2
GE102,Tiếng Anh sơ cấp 2,-1.0,2
GZ101,Tiếng Trung 1,0.0,2
IS314,Hệ thống thông tin,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.9,3
MA104,Số và cấu trúc đại số,3.4,3
MA239,Xác suất thống kê,3.4,4
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,9.1,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,8.8,2
ML204,Lịch sử Đảng,7.6,2
NA151,Khoa học môi trường,7.3,2
PG100,Giáo dục thể chất,6.2,4
PG121,Giáo dục quốc phòng,7.1,4
SH131,Pháp luật đại cương,9.3,2
VL101,Tiếng Việt thực hành,7.9,2
AD216,Kỹ năng sống,0.0,3
AD242,Thiết kế mỹ thuật,8.2,3
CF211,Phân tích và thiết kế thuật toán,0.0,2
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,9.7,2
CS212,Kiến trúc máy tính,4.0,3
CS315,Nguyên lý hệ điều hành,7.5,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS222,Cơ sở dữ liệu,4.2,3
IS322,Hệ quản trị cơ sở dữ liệu,4.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.1,3
MA110,Giải tích 1,0.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,6.1,3
MI201,Toán rời rạc,4.7,3
MI312,Đồ họa,10.0,2
NW212,Mạng máy tính,4.5,2
