Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC102,Nhập môn kinh tế học,3.3,2
GE101,Tiếng Anh sơ cấp 1,7.4,2
GE102,Tiếng Anh sơ cấp 2,6.8,2
GE103,Tiếng Anh sơ cấp 3,8.2,2
GE201,Tiếng Anh sơ trung cấp 1,5.0,2
GE202,Tiếng Anh sơ trung cấp 2,3.1,2
GK101,Tiếng Hàn 1,-1.0,2
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,5.7,2
ML112,Kinh tế chính trị và CNXH khoa học,4.5,3
ML202,Tư tưởng Hồ Chí Minh,5.5,2
NA151,Khoa học môi trường,3.2,2
PG113,GDTC: Bóng rổ cơ bản,2.1,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,6.3,1
PG123,GDQP: Công tác quốc phòng - an ninh,3.5,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,7.0,1
SH131,Pháp luật đại cương,2.0,2
VL101,Tiếng Việt thực hành,6.2,2
AD312,Bóng đá,1.8,4
CS110,Kỹ thuật số,-1.0,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
