Mã HP,Tên HP,Điểm,Số TC
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS100A,Nhập môn khoa học máy tính,6.2,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,0.0,3
CS212A,Kiến trúc máy tính 1,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.1,2
GE101A,Tiếng Anh sơ cấp 1,5.0,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.6,2
GE202A,Tiếng Anh sơ trung cấp 2,3.1,2
GJ101,Tiếng Nhật 1,0.0,2
MA100A,Toán 1,7.0,2
MA110A,Giải tích 1A,5.0,2
MA111A,Giải tích 2A,3.5,2
MA111B,Giải tích 2B,2.0,2
MA120A,Đại số tuyến tính 1,4.0,2
MA120B,Đại số tuyến tính 2,0.0,2
MI311A,Lý thuyết thông tin và mã hoá,0.0,2
ML111,Triết học Mác – Lênin,7.3,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.0,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,5.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,5.0,1
PG103,GDTC: Thể dục cổ truyền nâng cao,0.0,1
PG104,GDTC: Cầu lông cơ bản,7.5,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,7.0,4
SH131,Pháp luật đại cương,0.0,2
CF303,Hệ thống TEX,0.0,2
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,1.0,3
MA212,Phương trình vi phân,0.5,2
MA222,Đại số đại cương,4.0,2
MA231,Xác suất thống kê ứng dụng,0.0,4
MA313,Hàm biến phức,-1.0,2
MA323,Số học thuật toán,2.5,2
MI201,Toán rời rạc,0.5,3
MI425,Chuyên đề cơ sở dữ liệu và trí tuệ nhân tạo 1,0.0,4
NW212,Mạng máy tính,5.0,2
PE201,Tiếng Anh trong tin học 1A,0.0,2
