Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,7.7,4
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,1.5,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,5.4,2
GE100,Tiếng Anh cho người mới bắt đầu,7.8,2
GE101A,Tiếng Anh sơ cấp 1,7.5,2
GE102A,Tiếng Anh sơ cấp 2,7.9,2
GE201A,Tiếng Anh sơ trung cấp 1,-1.0,2
GF101,Tiếng Pháp 1,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA103,Số và cấu trúc đại số,1.6,2
ML111,Triết học Mác – Lênin,-1.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.0,3
NA151,Khoa học môi trường,6.9,2
PG110,GDTC: Bơi cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,7.9,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,0.0,1
SH131,Pháp luật đại cương,5.8,2
VL101,Tiếng Việt thực hành,7.8,2
AD312,Bóng đá,-1.0,4
CF212,Cấu trúc dữ liệu,1.2,3
CS110,Kỹ thuật số,5.0,2
CS211,Vi điều khiển và ứng dụng,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
NW212,Mạng máy tính,4.0,2
