Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.7,2
CS121,Ngôn ngữ lập trình,7.5,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,5.4,2
GE111,Tiếng Anh sơ cấp 1,8.4,2
GE112,Tiếng Anh sơ cấp 2,7.5,2
GE121,Tiếng Anh sơ trung cấp 1,7.6,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,0.0,2
GJ102,Tiếng Nhật 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.0,3
MA104,Số và cấu trúc đại số,0.0,3
ML113,Triết học Mác - Lênin,7.1,3
ML114,Kinh tế chính trị Mác - Lênin,8.0,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML204,Lịch sử Đảng,0.0,2
PG113,GDTC: Bóng rổ cơ bản,5.9,1
PG115,GDTC: Bóng chuyền cơ bản,7.4,1
PG121,Giáo dục quốc phòng,7.1,4
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,7.2,2
AD215,Ứng dụng PowerPoint,-1.0,3
CS110,Kỹ thuật số,5.5,2
FN334,Đầu tư chứng khoán,-1.0,2
IS222,Cơ sở dữ liệu,0.0,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,0.0,3
