Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.9,2
CS100,Tin đại cương,7.6,2
CS121,Ngôn ngữ lập trình,9.0,3
CS122,Lập trình hướng đối tượng,10.0,3
EC102,Nhập môn kinh tế học,8.5,2
GE101,Tiếng Anh sơ cấp 1,6.0,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,6.9,2
GE201,Tiếng Anh sơ trung cấp 1,6.5,2
GE202,Tiếng Anh sơ trung cấp 2,6.0,2
GE205,Tiếng Anh sơ trung cấp 3,8.5,2
GE301,Tiếng Anh trung cấp 1,7.5,2
GE303,Tiếng Anh trung cấp 2,5.4,2
GE305,Tiếng Anh trung cấp 3,-1.0,2
GZ101,Tiếng Trung 1,9.2,2
GZ102,Tiếng Trung 2,9.8,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IP401,Thực tập ngành Khoa học máy tính,8.5,2
IS314,Hệ thống thông tin,8.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.9,3
MA103,Số và cấu trúc đại số,5.0,2
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.8,3
ML111,Triết học Mác – Lênin,8.2,2
ML112,Kinh tế chính trị và CNXH khoa học,9.9,3
ML202,Tư tưởng Hồ Chí Minh,5.6,2
ML204,Lịch sử Đảng,8.4,2
NA151,Khoa học môi trường,8.5,2
PG102,GDTC: Thể dục cổ truyền cơ bản,2.4,1
PG106,GDTC: Bóng bàn cơ bản,6.8,1
PG115,GDTC: Bóng chuyền cơ bản,6.7,1
PG118,GDTC: Thể dục cơ bản,5.4,1
PG120,Thể dục cơ bản nâng cao,2.1,1
PG121,Giáo dục quốc phòng,5.8,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,9.1,3
SH131,Pháp luật đại cương,4.1,2
VL101,Tiếng Việt thực hành,6.9,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,9.5,3
AD213,Hát – Nhạc,8.7,3
AD216,Kỹ năng sống,9.4,3
CF212,Cấu trúc dữ liệu,6.9,3
CF301,Ngôn ngữ hình thức và Otomat,7.0,3
CS110,Kỹ thuật số,7.3,2
CS212,Kiến trúc máy tính,7.3,3
CS223,Lập trình Java,9.5,3
CS315,Nguyên lý hệ điều hành,8.2,3
CS425,Một số vấn đề hiện đại trong khoa học máy tính,10.0,2
IS222,Cơ sở dữ liệu,7.2,3
IS322,Hệ quản trị cơ sở dữ liệu,8.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
MA110,Giải tích 1,7.4,3
MA111,Giải tích 2,7.3,3
MA120,Đại số tuyến tính,8.2,3
MA231,Xác suất thống kê ứng dụng,8.0,4
MI201,Toán rời rạc,7.0,3
MI312,Đồ họa,6.6,2
NW212,Mạng máy tính,7.5,2
SE302,Công nghệ phần mềm,9.0,2
SE380,Project,6.6,3
SE422,Quản lý dự án phần mềm,6.8,3
SE487,CĐTN: Phát triển phần mềm,0.0,6
SM201,Phương pháp luận nghiên cứu khoa học,10.0,3
