Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,6.3,2
CS102,Công dân số,1.5,2
CS110,Kỹ thuật số,7.0,2
CS121,Ngôn ngữ lập trình,7.1,3
CS122,Lập trình hướng đối tượng,7.2,3
CS212,Kiến trúc máy tính,1.7,3
EC102,Nhập môn kinh tế học,7.5,2
GE101,Tiếng Anh sơ cấp 1,6.5,2
GE102,Tiếng Anh sơ cấp 2,4.6,2
GE103,Tiếng Anh sơ cấp 3,3.0,2
GE201,Tiếng Anh sơ trung cấp 1,5.9,2
GE202,Tiếng Anh sơ trung cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,5.0,2
GJ102,Tiếng Nhật 2,8.8,2
IS222,Cơ sở dữ liệu,1.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.9,3
MA104,Số và cấu trúc đại số,6.1,3
MA110,Giải tích 1,5.1,3
MA111,Giải tích 2,1.7,3
MA120,Đại số tuyến tính,6.5,3
MI201,Toán rời rạc,2.3,3
ML113,Triết học Mác - Lênin,7.8,3
ML114,Kinh tế chính trị Mác - Lênin,7.9,2
ML115,Chủ nghĩa xã hội khoa học,2.4,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,8.6,2
NA151,Khoa học môi trường,9.2,2
NW212,Mạng máy tính,5.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,7.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,8.4,2
VL101,Tiếng Việt thực hành,7.3,2
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS224,Lập trình .Net,-1.0,3
