Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,10.0,3
CS100,Tin đại cương,9.4,2
CS102,Công dân số,8.5,2
CS110,Kỹ thuật số,8.1,2
CS121,Ngôn ngữ lập trình,5.9,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,5.2,3
EC102,Nhập môn kinh tế học,7.7,2
GE101,Tiếng Anh sơ cấp 1,6.6,2
GE102,Tiếng Anh sơ cấp 2,5.7,2
GE103,Tiếng Anh sơ cấp 3,6.5,2
GE201,Tiếng Anh sơ trung cấp 1,6.0,2
GE202,Tiếng Anh sơ trung cấp 2,5.8,2
GE205,Tiếng Anh sơ trung cấp 3,5.8,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,7.8,2
GJ102,Tiếng Nhật 2,8.3,2
IS222,Cơ sở dữ liệu,7.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA110,Giải tích 1,4.3,3
MA111,Giải tích 2,2.9,3
MA120,Đại số tuyến tính,6.4,3
MA239,Xác suất thống kê,6.8,4
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,7.5,2
ML115,Chủ nghĩa xã hội khoa học,8.9,2
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML204,Lịch sử Đảng,6.8,2
NA151,Khoa học môi trường,7.4,2
NW212,Mạng máy tính,0.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG106,GDTC: Bóng bàn cơ bản,7.3,1
PG113,GDTC: Bóng rổ cơ bản,5.9,1
PG118,GDTC: Thể dục cơ bản,0.0,1
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,7.0,2
AD216,Kỹ năng sống,8.9,3
AD250,Dinh dưỡng và tiết chế,0.0,3
AI130,Nhập môn trí tuệ nhân tạo,7.5,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,4.5,3
CF211,Phân tích và thiết kế thuật toán,0.0,2
CS320,Học máy,0.0,3
CS321,Nhập môn khoa học dữ liệu,6.0,2
IS330,Dữ liệu lớn,6.6,2
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
MA238,Thống kê nâng cao,0.0,3
