Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,2.1,2
EC102,Nhập môn kinh tế học,0.0,2
GE111,Tiếng Anh sơ cấp 1,5.8,2
GE112,Tiếng Anh sơ cấp 2,4.8,2
GF101,Tiếng Pháp 1,7.8,2
GF102,Tiếng Pháp 2,0.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,5.3,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,-1.0,2
NA151,Khoa học môi trường,-1.0,2
PG113,GDTC: Bóng rổ cơ bản,5.0,1
PG121,Giáo dục quốc phòng,6.0,4
SC201,Kỹ năng giao tiếp và thuyết trình,0.0,2
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,1.7,2
AD250,Dinh dưỡng và tiết chế,-1.0,3
SM201,Phương pháp luận nghiên cứu khoa học,0.0,3
