Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.8,2
CS102,Công dân số,2.7,2
CS110,Kỹ thuật số,7.1,2
CS121,Ngôn ngữ lập trình,4.9,3
CS122,Lập trình hướng đối tượng,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
EC102,Nhập môn kinh tế học,2.8,2
GE111,Tiếng Anh sơ cấp 1,5.0,2
GE112,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,6.1,2
GJ102,Tiếng Nhật 2,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA104,Số và cấu trúc đại số,0.0,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,3.2,3
ML113,Triết học Mác - Lênin,7.5,3
ML114,Kinh tế chính trị Mác - Lênin,0.0,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML204,Lịch sử Đảng,0.0,2
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,6.5,2
