Mã HP,Tên HP,Điểm,Số TC
CF212B,Cấu trúc dữ liệu 2,0.0,2
CS100A,Nhập môn khoa học máy tính,8.9,2
CS121,Ngôn ngữ lập trình,8.7,3
CS122,Lập trình hướng đối tượng,7.4,3
CS212A,Kiến trúc máy tính 1,7.3,2
CS212B,Kiến trúc máy tính 2,8.5,2
CS311A,Hợp ngữ,8.5,2
EC101,Kinh tế học đại cương,6.1,3
FN201A,Lý thuyết tài chính tiền tệ,1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.3,2
GE101A,Tiếng Anh sơ cấp 1,8.7,2
GE102A,Tiếng Anh sơ cấp 2,7.5,2
GE201A,Tiếng Anh sơ trung cấp 1,7.6,2
GF101,Tiếng Pháp 1,7.0,2
GF102,Tiếng Pháp 2,5.0,2
IS322E,Hệ quản trị cơ sở dữ liệu,6.5,4
MA100A,Toán 1,5.0,2
MA110A,Giải tích 1A,0.0,2
ML111,Triết học Mác – Lênin,7.3,2
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,5.0,2
NW312A,Thiết kế quản trị mạng,0.0,4
PG100,Giáo dục thể chất,7.3,4
PG121,Giáo dục quốc phòng,6.6,4
SH131,Pháp luật đại cương,6.0,2
AC201,Nguyên lý kế toán,3.8,3
AC210,Kế toán doanh nghiệp,0.8,3
AD211,Văn hóa Hà Nội,6.5,2
BA101,Quản trị học,7.4,2
CF201,Lý thuyết thuật toán,8.0,3
CF212A,Cấu trúc dữ liệu 1,5.0,2
CF212B,Cấu trúc dữ liệu 2,0.0,2
CS110,Kỹ thuật số,7.2,2
CS212A,Kiến trúc máy tính 1,7.3,2
CS212B,Kiến trúc máy tính 2,8.5,2
CS223,Lập trình Java,8.0,3
CS224,Lập trình .Net,8.0,3
CS315,Nguyên lý hệ điều hành,7.5,3
CS316,Hệ điều hành Unix,0.0,3
CS324,Kỹ thuật lập trình,9.5,2
CS325,Lập trình PHP,0.0,3
EC202,Kinh tế vi mô,1.5,2
EC203,Kinh tế vĩ mô,5.8,2
IS222,Cơ sở dữ liệu,7.1,3
IS322E,Hệ quản trị cơ sở dữ liệu,6.5,4
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
IS424A,Lập trình cơ sở dữ liệu 1,7.0,4
MA110A,Giải tích 1A,0.0,2
MI201,Toán rời rạc,5.8,3
MI312,Đồ họa,0.0,2
MK201,Nguyên lý marketing,8.1,2
MK423,Quan hệ cộng đồng,8.0,2
NW212,Mạng máy tính,6.0,2
NW312A,Thiết kế quản trị mạng,0.0,4
PE201,Tiếng Anh trong tin học 1A,6.6,2
PE302,Tiếng Anh trong tin học 1B,6.5,2
PE303,Tiếng Anh trong tin học 2A,7.2,2
SE302,Công nghệ phần mềm,6.5,2
SE487,CĐTN: Phát triển phần mềm,9.4,6
