Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,1.2,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,8.4,2
GE101A,Tiếng Anh sơ cấp 1,8.1,2
GE102A,Tiếng Anh sơ cấp 2,5.9,2
GE201A,Tiếng Anh sơ trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,2.2,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",2.1,3
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,6.6,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
ML202,Tư tưởng Hồ Chí Minh,2.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,2.7,3
NA151,Khoa học môi trường,6.1,2
PG118,GDTC: Thể dục cơ bản,7.2,1
PG122,GDQP: Đường lối quân sự của Đảng,2.9,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,0.0,1
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,5.0,2
AD312,Bóng đá,6.0,4
CS110,Kỹ thuật số,-1.0,2
CS315,Nguyên lý hệ điều hành,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
MA110,Giải tích 1,-1.0,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,-1.0,3
MI312,Đồ họa,-1.0,2
NW212,Mạng máy tính,-1.0,2
