Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,8.4,4
BA314A,Quản trị nguồn nhân lực,5.0,2
CS100,Tin đại cương,6.5,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,3.1,3
EC101,Kinh tế học đại cương,7.6,3
GE100,Tiếng Anh cho người mới bắt đầu,6.3,2
GE101A,Tiếng Anh sơ cấp 1,5.9,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GJ101,Tiếng Nhật 1,6.9,2
GJ102,Tiếng Nhật 2,8.9,2
IM201,Kỹ năng soạn thảo VB (MS office),7.0,3
IM203,Ứng dụng Excel,6.3,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",4.3,3
ML111,Triết học Mác – Lênin,5.5,2
ML112,Kinh tế chính trị và CNXH khoa học,6.1,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.3,3
NA151,Khoa học môi trường,8.0,2
PG100,Giáo dục thể chất,9.1,4
PG121,Giáo dục quốc phòng,6.2,4
SC201,Kỹ năng giao tiếp và thuyết trình,6.3,2
SH131,Pháp luật đại cương,5.2,2
VL101,Tiếng Việt thực hành,6.1,2
AC201,Nguyên lý kế toán,4.2,3
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.5,3
BA101,Quản trị học,5.0,2
CS212,Kiến trúc máy tính,5.5,3
CS325,Lập trình PHP,2.4,3
EC202,Kinh tế vi mô,5.5,2
EC203,Kinh tế vĩ mô,5.0,2
FN221,Tài chính công,6.9,2
IS222,Cơ sở dữ liệu,1.2,3
IS314,Hệ thống thông tin,5.7,3
IS322,Hệ quản trị cơ sở dữ liệu,1.5,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",4.4,4
MA231,Xác suất thống kê ứng dụng,5.0,4
MA241,Toán tài chính,4.0,2
MK201,Nguyên lý marketing,5.1,2
NW212,Mạng máy tính,4.1,2
PE201,Tiếng Anh trong tin học 1A,5.0,2
PE302,Tiếng Anh trong tin học 1B,5.3,2
PE303,Tiếng Anh trong tin học 2A,5.0,2
PE404,Tiếng Anh trong tin học 2B,5.3,2
SE302,Công nghệ phần mềm,6.0,2
SE487,CĐTN: Phát triển phần mềm,8.5,6
SM201,Phương pháp luận nghiên cứu khoa học,6.2,3
