Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,8.5,2
CS121,Ngôn ngữ lập trình,7.7,3
CS122,Lập trình hướng đối tượng,6.3,3
EC101,Kinh tế học đại cương,5.0,3
GE100,Tiếng Anh cho người mới bắt đầu,8.3,2
GE101A,Tiếng Anh sơ cấp 1,7.3,2
GE102A,Tiếng Anh sơ cấp 2,7.1,2
GE201A,Tiếng Anh sơ trung cấp 1,8.0,2
GE202A,Tiếng Anh sơ trung cấp 2,7.8,2
GF101,Tiếng Pháp 1,5.5,2
GJ101,Tiếng Nhật 1,0.0,2
MA100A,Toán 1,5.5,2
ML111,Triết học Mác – Lênin,6.2,2
ML112,Kinh tế chính trị và CNXH khoa học,6.0,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.5,3
NA151,Khoa học môi trường,5.0,2
PG100,Giáo dục thể chất,8.4,4
PG121,Giáo dục quốc phòng,7.4,4
SH131,Pháp luật đại cương,6.0,2
AD211,Văn hóa Hà Nội,5.0,2
CF201,Lý thuyết thuật toán,5.0,3
CF212,Cấu trúc dữ liệu,0.0,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,5.6,2
CS212,Kiến trúc máy tính,0.0,3
CS223,Lập trình Java,0.0,3
CS224,Lập trình .Net,8.5,3
CS315,Nguyên lý hệ điều hành,8.0,3
CS316,Hệ điều hành Unix,5.2,3
CS324,Kỹ thuật lập trình,0.0,2
IS222,Cơ sở dữ liệu,5.9,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
IS333,Phân tích thiết kế hệ thống thông tin,5.0,2
MA110,Giải tích 1,5.8,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA212,Phương trình vi phân,-1.0,2
MA222,Đại số đại cương,0.0,2
MA231,Xác suất thống kê ứng dụng,0.0,4
MI201,Toán rời rạc,6.3,3
MI312,Đồ họa,0.0,2
MI414,Giao diện người máy,5.0,2
NW212,Mạng máy tính,10.0,2
NW312,Thiết kế và quản trị mạng,-1.0,3
NW332,An toàn mạng,0.6,3
PE201,Tiếng Anh trong tin học 1A,7.6,2
PE302,Tiếng Anh trong tin học 1B,8.8,2
PE303,Tiếng Anh trong tin học 2A,7.7,2
PE404,Tiếng Anh trong tin học 2B,7.0,2
SE302,Công nghệ phần mềm,8.0,2
SE487,CĐTN: Phát triển phần mềm,-1.0,6
