Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,2.4,2
CS121,Ngôn ngữ lập trình,5.1,3
CS122,Lập trình hướng đối tượng,-1.0,3
GE101,Tiếng Anh sơ cấp 1,6.3,2
GE102,Tiếng Anh sơ cấp 2,5.0,2
GE103,Tiếng Anh sơ cấp 3,2.3,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,7.3,2
ML112,Kinh tế chính trị và CNXH khoa học,1.8,3
NA151,Khoa học môi trường,3.0,2
PG121,Giáo dục quốc phòng,5.7,4
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,7.4,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.4,3
