Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,9.2,3
CS100,Tin đại cương,7.6,2
CS102,Công dân số,8.5,2
CS110,Kỹ thuật số,8.2,2
CS121,Ngôn ngữ lập trình,9.5,3
CS122,Lập trình hướng đối tượng,9.0,3
CS212,Kiến trúc máy tính,6.2,3
EC102,Nhập môn kinh tế học,8.7,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,6.2,2
GE103,Tiếng Anh sơ cấp 3,5.1,2
GZ101,Tiếng Trung 1,9.4,2
GZ102,Tiếng Trung 2,9.7,2
IS222,Cơ sở dữ liệu,7.5,3
IS322,Hệ quản trị cơ sở dữ liệu,7.2,3
IS330,Dữ liệu lớn,0.0,2
IT333,Công nghệ Web,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.8,3
MA104,Số và cấu trúc đại số,6.2,3
MA110,Giải tích 1,6.5,3
MA111,Giải tích 2,8.5,3
MA120,Đại số tuyến tính,6.7,3
MA239,Xác suất thống kê,8.4,4
MI201,Toán rời rạc,8.4,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.7,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.2,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML204,Lịch sử Đảng,8.0,2
NA151,Khoa học môi trường,8.2,2
NW212,Mạng máy tính,6.4,2
PG113,GDTC: Bóng rổ cơ bản,7.8,1
PG115,GDTC: Bóng chuyền cơ bản,2.9,1
PG118,GDTC: Thể dục cơ bản,7.9,1
SH131,Pháp luật đại cương,9.3,2
VL101,Tiếng Việt thực hành,8.2,2
AD216,Kỹ năng sống,0.0,3
AD241,Dẫn chương trình (MC),0.0,3
CF301,Ngôn ngữ hình thức và Otomat,8.3,3
CS315,Nguyên lý hệ điều hành,9.0,3
IS332,Phân tích thiết kế hướng đối tượng,8.0,3
