Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.3,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,2.1,2
GE100,Tiếng Anh cho người mới bắt đầu,7.7,2
GE101A,Tiếng Anh sơ cấp 1,7.4,2
GE102A,Tiếng Anh sơ cấp 2,7.9,2
GE201A,Tiếng Anh sơ trung cấp 1,6.2,2
GE202A,Tiếng Anh sơ trung cấp 2,1.7,2
GJ101,Tiếng Nhật 1,5.9,2
MA102,Toán cơ sở,5.4,3
ML111,Triết học Mác – Lênin,1.5,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
NA151,Khoa học môi trường,6.5,2
PG102,GDTC: Thể dục cổ truyền cơ bản,7.1,1
PG106,GDTC: Bóng bàn cơ bản,2.4,1
PG115,GDTC: Bóng chuyền cơ bản,6.7,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,4.2,2
VL101,Tiếng Việt thực hành,5.3,2
CF212,Cấu trúc dữ liệu,1.5,3
CS110,Kỹ thuật số,-1.0,2
CS212,Kiến trúc máy tính,-1.0,3
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,6.4,3
MA120,Đại số tuyến tính,2.3,3
MI201,Toán rời rạc,-1.0,3
NW212,Mạng máy tính,-1.0,2
PE201,Tiếng Anh trong tin học 1A,8.4,2
PE302,Tiếng Anh trong tin học 1B,7.8,2
