Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.7,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.3,2
GE101A,Tiếng Anh sơ cấp 1,7.0,2
GE102A,Tiếng Anh sơ cấp 2,7.2,2
GE201A,Tiếng Anh sơ trung cấp 1,6.4,2
GE202A,Tiếng Anh sơ trung cấp 2,5.2,2
GF101,Tiếng Pháp 1,-1.0,2
MA102,Toán cơ sở,5.1,3
ML111,Triết học Mác – Lênin,5.3,2
ML112,Kinh tế chính trị và CNXH khoa học,2.3,3
NA151,Khoa học môi trường,5.5,2
PG118,GDTC: Thể dục cơ bản,3.0,1
PG121,Giáo dục quốc phòng,5.2,4
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,5.8,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,3.5,3
