Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.5,2
CS110,Kỹ thuật số,1.8,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.7,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,2.8,3
ML113,Triết học Mác - Lênin,-1.0,3
NA151,Khoa học môi trường,-1.0,2
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,6.4,2
