Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.0,3
CS100,Tin đại cương,6.0,2
CS102,Công dân số,2.0,2
CS110,Kỹ thuật số,6.6,2
CS121,Ngôn ngữ lập trình,2.1,3
CS122,Lập trình hướng đối tượng,4.1,3
CS212,Kiến trúc máy tính,1.2,3
EC102,Nhập môn kinh tế học,9.4,2
GE101,Tiếng Anh sơ cấp 1,6.7,2
GE102,Tiếng Anh sơ cấp 2,7.3,2
GE103,Tiếng Anh sơ cấp 3,5.8,2
GE201,Tiếng Anh sơ trung cấp 1,4.2,2
GE202,Tiếng Anh sơ trung cấp 2,4.8,2
GE205,Tiếng Anh sơ trung cấp 3,5.4,2
GE301,Tiếng Anh trung cấp 1,3.4,2
GE303,Tiếng Anh trung cấp 2,-1.0,2
GZ101,Tiếng Trung 1,5.9,2
GZ102,Tiếng Trung 2,1.3,2
IS222,Cơ sở dữ liệu,1.7,3
IS314,Hệ thống thông tin,7.1,3
IS322,Hệ quản trị cơ sở dữ liệu,1.5,3
IS334,Quản lý dự án hệ thống thông tin,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,3.7,3
MA110,Giải tích 1,5.7,3
MA111,Giải tích 2,5.4,3
MA120,Đại số tuyến tính,6.5,3
MI201,Toán rời rạc,5.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,6.2,3
ML111,Triết học Mác – Lênin,8.3,2
ML112,Kinh tế chính trị và CNXH khoa học,7.9,3
ML202,Tư tưởng Hồ Chí Minh,9.6,2
ML204,Lịch sử Đảng,7.6,2
NA151,Khoa học môi trường,7.6,2
NW212,Mạng máy tính,4.9,2
SE302,Công nghệ phần mềm,1.8,2
SH131,Pháp luật đại cương,8.0,2
AD215,Ứng dụng PowerPoint,7.4,3
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS223,Lập trình Java,1.2,3
CS224,Lập trình .Net,-1.0,3
CS315,Nguyên lý hệ điều hành,1.2,3
IS332,Phân tích thiết kế hướng đối tượng,6.4,3
IT380,Dự án Công nghệ thông tin,2.4,2
