Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.2,2
CS102,Công dân số,5.2,2
CS121,Ngôn ngữ lập trình,7.6,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,9.0,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,10.0,2
GE103,Tiếng Anh sơ cấp 3,9.0,2
GE201,Tiếng Anh sơ trung cấp 1,7.3,2
GE202,Tiếng Anh sơ trung cấp 2,5.1,2
GE205,Tiếng Anh sơ trung cấp 3,5.3,2
GE231,Tiếng Anh trung cấp 1,5.0,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GF101,Tiếng Pháp 1,6.0,2
GF102,Tiếng Pháp 2,6.3,2
GI101,Tiếng Ý 1,8.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.8,3
MA104,Số và cấu trúc đại số,5.1,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.6,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML202,Tư tưởng Hồ Chí Minh,8.7,2
ML204,Lịch sử Đảng,7.9,2
NA151,Khoa học môi trường,8.5,2
PG100,Giáo dục thể chất,6.0,4
PG121,Giáo dục quốc phòng,6.0,4
SH131,Pháp luật đại cương,9.5,2
VL101,Tiếng Việt thực hành,8.8,2
AD216,Kỹ năng sống,0.0,3
CF212,Cấu trúc dữ liệu,0.0,3
CS110,Kỹ thuật số,9.1,2
CS212,Kiến trúc máy tính,4.2,3
CS315,Nguyên lý hệ điều hành,8.3,3
IM206,ứng dụng Excel,5.9,2
IS222,Cơ sở dữ liệu,5.3,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,4.6,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,8.2,3
MI201,Toán rời rạc,6.5,3
NW212,Mạng máy tính,5.4,2
