Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,9.0,3
CS100,Tin đại cương,8.2,2
CS101,Công dân số,9.5,2
CS110,Kỹ thuật số,7.5,2
CS121,Ngôn ngữ lập trình,9.0,3
CS122,Lập trình hướng đối tượng,9.3,3
CS212,Kiến trúc máy tính,7.1,3
EC102,Nhập môn kinh tế học,9.4,2
GE101,Tiếng Anh sơ cấp 1,5.8,2
GE102,Tiếng Anh sơ cấp 2,4.3,2
GE103,Tiếng Anh sơ cấp 3,7.2,2
GE201,Tiếng Anh sơ trung cấp 1,6.9,2
GE202,Tiếng Anh sơ trung cấp 2,8.2,2
GE205,Tiếng Anh sơ trung cấp 3,5.1,2
GE301,Tiếng Anh trung cấp 1,5.5,2
GE303,Tiếng Anh trung cấp 2,5.6,2
GE333,Tiếng Anh trung cấp 3,4.8,2
GJ101,Tiếng Nhật 1,8.3,2
GJ102,Tiếng Nhật 2,6.3,2
IP405,Thực tập ngành Trí tuệ nhân tạo,7.8,3
IS222,Cơ sở dữ liệu,7.5,3
IT320,Phát triển ứng dụng với Python,4.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.3,3
MA110,Giải tích 1,6.8,3
MA111,Giải tích 2,5.5,3
MA120,Đại số tuyến tính,7.1,3
MA230,Xác suất,6.4,3
MA234,Thống Kê,5.8,2
MI201,Toán rời rạc,6.6,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.2,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,8.2,2
ML204,Lịch sử Đảng,7.7,2
NA151,Khoa học môi trường,9.0,2
NW212,Mạng máy tính,6.0,2
SH131,Pháp luật đại cương,8.0,2
VL101,Tiếng Việt thực hành,7.0,2
AI220,Các công cụ lập trình trí tuệ nhân tạo,8.5,3
AI310,Học sâu,8.5,3
AI320,Xử lý ngôn ngữ tự nhiên,5.2,3
AI321,Thị giác máy tính,8.8,3
CF211,Phân tích và thiết kế thuật toán,7.2,2
CS320,Học máy,4.9,3
IS326,Khai phá dữ liệu,9.5,3
IS330,Dữ liệu lớn,2.4,2
MA238,Thống kê nâng cao,3.6,3
MI302,Tối ưu hóa,2.5,2
