Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.5,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,4.1,3
EC102,Nhập môn kinh tế học,5.4,2
GE100,Tiếng Anh cho người mới bắt đầu,6.8,2
GE101A,Tiếng Anh sơ cấp 1,6.2,2
GE102A,Tiếng Anh sơ cấp 2,6.3,2
GE201A,Tiếng Anh sơ trung cấp 1,6.3,2
GE202A,Tiếng Anh sơ trung cấp 2,5.4,2
GE301,Tiếng Anh trung cấp 1,5.0,2
GE303,Tiếng Anh trung cấp 2,5.0,2
GE305,Tiếng Anh trung cấp 3,4.2,2
GJ101,Tiếng Nhật 1,5.0,2
GJ102,Tiếng Nhật 2,3.9,2
IM201,Kỹ năng soạn thảo VB (MS office),7.2,3
IS314,Hệ thống thông tin,5.9,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA103,Số và cấu trúc đại số,2.6,2
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,7.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,5.9,3
NA151,Khoa học môi trường,7.6,2
PG100,Giáo dục thể chất,7.9,4
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,5.0,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.0,3
CF212,Cấu trúc dữ liệu,5.6,3
CF301,Ngôn ngữ hình thức và Otomat,-1.0,3
CS110,Kỹ thuật số,3.7,2
CS212,Kiến trúc máy tính,5.4,3
CS223,Lập trình Java,9.7,3
CS315,Nguyên lý hệ điều hành,7.3,3
IS222,Cơ sở dữ liệu,4.2,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.3,3
MA110,Giải tích 1,2.1,3
MA120,Đại số tuyến tính,3.8,3
MA231,Xác suất thống kê ứng dụng,5.9,4
MI201,Toán rời rạc,5.9,3
MI312,Đồ họa,5.0,2
MI321,Trí tuệ nhân tạo,7.9,3
NW212,Mạng máy tính,6.8,2
NW312,Thiết kế và quản trị mạng,3.4,3
SM201,Phương pháp luận nghiên cứu khoa học,5.0,3
