Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.2,3
CS100,Tin đại cương,6.5,2
CS102,Công dân số,6.4,2
CS110,Kỹ thuật số,9.3,2
CS121,Ngôn ngữ lập trình,7.0,3
CS122,Lập trình hướng đối tượng,7.8,3
CS212,Kiến trúc máy tính,7.0,3
EC102,Nhập môn kinh tế học,9.0,2
GE101,Tiếng Anh sơ cấp 1,7.3,2
GE102,Tiếng Anh sơ cấp 2,7.1,2
GE103,Tiếng Anh sơ cấp 3,6.4,2
GE121,Tiếng Anh sơ trung cấp 1,5.0,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,8.9,2
GJ102,Tiếng Nhật 2,4.1,2
IS222,Cơ sở dữ liệu,7.7,3
IS314,Hệ thống thông tin,8.4,3
IS322,Hệ quản trị cơ sở dữ liệu,8.8,3
IT333,Công nghệ Web,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",10.0,3
MA104,Số và cấu trúc đại số,7.8,3
MA110,Giải tích 1,9.1,3
MA111,Giải tích 2,9.5,3
MA120,Đại số tuyến tính,7.0,3
MA239,Xác suất thống kê,6.2,4
MI201,Toán rời rạc,6.3,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.3,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML204,Lịch sử Đảng,8.5,2
NA151,Khoa học môi trường,7.0,2
NW212,Mạng máy tính,6.3,2
SE302,Công nghệ phần mềm,0.0,2
SH131,Pháp luật đại cương,9.4,2
VL101,Tiếng Việt thực hành,8.8,2
AD240,Nhiếp ảnh cơ bản,9.0,3
AD241,Dẫn chương trình (MC),9.5,3
CF211,Phân tích và thiết kế thuật toán,9.2,2
CS314,Lập trình ứng dụng di động,7.8,2
CS315,Nguyên lý hệ điều hành,8.0,3
IS332,Phân tích thiết kế hướng đối tượng,8.0,3
IT380,Dự án Công nghệ thông tin,0.0,2
