Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,6.0,2
CS121,Ngôn ngữ lập trình,5.0,3
CS212A,Kiến trúc máy tính 1,4.5,2
CS311A,Hợp ngữ,1.0,2
EC102,Nhập môn kinh tế học,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.0,2
GE101A,Tiếng Anh sơ cấp 1,3.6,2
GF101,Tiếng Pháp 1,7.6,2
MA100A,Toán 1,5.4,2
MA110A,Giải tích 1A,4.0,2
MA111A,Giải tích 2A,5.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,0.7,3
ML202,Tư tưởng Hồ Chí Minh,5.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.5,3
NA151,Khoa học môi trường,6.0,2
PG100,Giáo dục thể chất,7.6,4
PG103,GDTC: Thể dục cổ truyền nâng cao,3.0,1
PG121,Giáo dục quốc phòng,5.1,4
SH131,Pháp luật đại cương,5.5,2
CS110,Kỹ thuật số,8.0,2
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,3.5,3
MA231,Xác suất thống kê ứng dụng,0.0,4
NW212,Mạng máy tính,1.0,2
