Mã HP,Tên HP,Điểm,Số TC
BA102,Quản trị học đại cương,5.4,3
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,5.3,3
EC102,Nhập môn kinh tế học,9.7,2
EC204,Kinh tế vi mô,8.8,3
EC205,Kinh tế vĩ mô,5.0,3
FN201,Tài chính tiền tệ căn bản,8.1,3
GE100,Tiếng Anh cho người mới bắt đầu,8.7,2
GE101A,Tiếng Anh sơ cấp 1,8.0,2
GE102A,Tiếng Anh sơ cấp 2,7.9,2
GE201A,Tiếng Anh sơ trung cấp 1,6.8,2
GE202A,Tiếng Anh sơ trung cấp 2,4.4,2
GE301,Tiếng Anh trung cấp 1,6.5,2
GE303,Tiếng Anh trung cấp 2,3.6,2
GF101,Tiếng Pháp 1,-1.0,2
GZ101,Tiếng Trung 1,5.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),9.0,3
IS223,Cơ sở dữ liệu và khai phá dữ liệu,-1.0,3
IS314,Hệ thống thông tin,7.0,3
IS330,Dữ liệu lớn,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",10.0,3
MA103,Số và cấu trúc đại số,5.0,2
MA213,Phương trình vi phân,7.4,3
MA215,Topology,2.5,2
MA225,Các không gian hàm và phép tính sai phân,6.8,3
MA234,Thống Kê,-1.0,2
ML111,Triết học Mác – Lênin,8.7,2
ML112,Kinh tế chính trị và CNXH khoa học,8.5,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.2,3
NA151,Khoa học môi trường,7.5,2
PG106,GDTC: Bóng bàn cơ bản,7.3,1
PG113,GDTC: Bóng rổ cơ bản,8.6,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG120,Thể dục cơ bản nâng cao,1.5,1
PG121,Giáo dục quốc phòng,7.1,4
SH131,Pháp luật đại cương,6.7,2
VL101,Tiếng Việt thực hành,8.5,2
AD215,Ứng dụng PowerPoint,8.9,3
EC317,Mô hình hóa phân tích tài chính,3.0,3
FN334,Đầu tư chứng khoán,1.6,2
MA110,Giải tích 1,9.5,3
MA111,Giải tích 2,7.0,3
MA120,Đại số tuyến tính,10.0,3
MA230,Xác suất,6.1,3
MA323,Số học thuật toán,10.0,2
MA340,Giải tích số,6.8,3
MI201,Toán rời rạc,5.5,3
MI302,Tối ưu hóa,7.0,2
SM201,Phương pháp luận nghiên cứu khoa học,7.9,3
