Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.0,2
CS121,Ngôn ngữ lập trình,1.5,3
CS122,Lập trình hướng đối tượng,1.5,3
EC102,Nhập môn kinh tế học,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.0,2
GE101A,Tiếng Anh sơ cấp 1,5.0,2
GE102A,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA102,Toán cơ sở,1.7,3
ML111,Triết học Mác – Lênin,3.9,2
ML112,Kinh tế chính trị và CNXH khoa học,3.5,3
NA151,Khoa học môi trường,5.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,5.0,1
PG122,GDQP: Đường lối quân sự của Đảng,2.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,4.0,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,2.8,2
VL101,Tiếng Việt thực hành,5.6,2
CF212,Cấu trúc dữ liệu,1.5,3
CS110,Kỹ thuật số,9.0,2
CS212,Kiến trúc máy tính,-1.0,3
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.3,3
MI201,Toán rời rạc,1.4,3
NW212,Mạng máy tính,-1.0,2
