Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.7,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,5.7,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,6.0,2
GE101,Tiếng Anh sơ cấp 1,7.1,2
GE102,Tiếng Anh sơ cấp 2,6.4,2
GE103,Tiếng Anh sơ cấp 3,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.0,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.8,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
NA151,Khoa học môi trường,8.6,2
PG122,GDQP: Đường lối quân sự của Đảng,2.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,7.0,1
PG124,GDQP: Quân sự chung,2.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.0,1
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,5.5,2
CS110,Kỹ thuật số,7.3,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,7.4,3
