Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.6,2
CS100,Tin đại cương,5.4,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,7.0,3
EC102,Nhập môn kinh tế học,5.0,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,6.7,2
GE103,Tiếng Anh sơ cấp 3,6.4,2
GE201,Tiếng Anh sơ trung cấp 1,10.0,2
GE202,Tiếng Anh sơ trung cấp 2,9.0,2
GE205,Tiếng Anh sơ trung cấp 3,8.0,2
GE231,Tiếng Anh trung cấp 1,2.2,2
GE232,Tiếng Anh trung cấp 2,2.0,2
GZ101,Tiếng Trung 1,8.9,2
GZ102,Tiếng Trung 2,7.9,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),10.0,3
IP401,Thực tập ngành Khoa học máy tính,9.5,2
IS314,Hệ thống thông tin,7.6,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.9,3
MA103,Số và cấu trúc đại số,5.3,2
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML111,Triết học Mác – Lênin,7.8,2
ML112,Kinh tế chính trị và CNXH khoa học,7.8,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.9,3
NA151,Khoa học môi trường,8.5,2
PG100,Giáo dục thể chất,8.0,4
PG121,Giáo dục quốc phòng,6.9,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,9.2,3
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,8.0,2
CF212,Cấu trúc dữ liệu,8.0,3
CF301,Ngôn ngữ hình thức và Otomat,6.0,3
CS110,Kỹ thuật số,7.6,2
CS212,Kiến trúc máy tính,6.1,3
CS223,Lập trình Java,9.5,3
CS224,Lập trình .Net,8.0,3
CS315,Nguyên lý hệ điều hành,8.0,3
CS425,Một số vấn đề hiện đại trong khoa học máy tính,9.5,2
IS222,Cơ sở dữ liệu,7.7,3
IS322,Hệ quản trị cơ sở dữ liệu,5.7,3
IS332,Phân tích thiết kế hướng đối tượng,8.3,3
IS383,Hệ thống thông tin nâng cao,8.5,2
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.0,3
MA230,Xác suất,6.8,3
MI201,Toán rời rạc,7.0,3
MI312,Đồ họa,9.7,2
NW212,Mạng máy tính,8.4,2
SE302,Công nghệ phần mềm,8.0,2
SE380,Project,8.5,3
SE422,Quản lý dự án phần mềm,7.8,3
SE487,CĐTN: Phát triển phần mềm,9.0,6
SM201,Phương pháp luận nghiên cứu khoa học,9.0,3
