Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,6.4,4
CS100A,Nhập môn khoa học máy tính,7.2,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.1,3
EC101,Kinh tế học đại cương,5.0,3
FN201A,Lý thuyết tài chính tiền tệ,5.6,2
FN211,Tài chính doanh nghiệp,5.2,3
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,7.7,2
GE102A,Tiếng Anh sơ cấp 2,6.8,2
GE201A,Tiếng Anh sơ trung cấp 1,6.0,2
GE202A,Tiếng Anh sơ trung cấp 2,7.5,2
GE320A,TOEIC,6.0,2
GF101,Tiếng Pháp 1,6.7,2
GF102,Tiếng Pháp 2,7.2,2
GJ101,Tiếng Nhật 1,0.0,2
IM201,Kỹ năng soạn thảo VB (MS office),6.4,3
IM203,Ứng dụng Excel,7.1,3
MA100A,Toán 1,5.8,2
ML111,Triết học Mác – Lênin,5.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.7,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.0,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,6.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,1.5,1
PG104,GDTC: Cầu lông cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG114,GDTC: Bóng rổ nâng cao,8.0,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,5.0,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.6,2
SH131,Pháp luật đại cương,5.9,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,5.0,3
AD204,Ẩm thực Việt nam,7.8,4
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,5.7,3
BK201,Ngân hàng thương mại 1,4.5,3
CF212,Cấu trúc dữ liệu,0.0,3
CS110,Kỹ thuật số,4.5,2
CS212A,Kiến trúc máy tính 1,0.0,2
CS223,Lập trình Java,5.0,3
CS316,Hệ điều hành Unix,5.9,3
CS324,Kỹ thuật lập trình,0.0,2
CS325,Lập trình PHP,6.0,3
EC202,Kinh tế vi mô,5.0,2
EC203,Kinh tế vĩ mô,5.0,2
FN221,Tài chính công,5.9,2
IP403,Thực tập ngành Hệ thống thông tin,0.0,2
IS201,Tin quản lý Access,5.6,3
IS222,Cơ sở dữ liệu,5.5,3
IS322,Hệ quản trị cơ sở dữ liệu,6.1,3
IS332,Phân tích thiết kế hướng đối tượng,5.0,3
IS333,Phân tích thiết kế hệ thống thông tin,5.1,2
MA120A,Đại số tuyến tính 1,0.0,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.6,4
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,5.0,3
MK201,Nguyên lý marketing,5.3,2
MK311,Quản trị Marketing,-1.0,3
MK312,Quản trị thương hiệu,5.0,2
MK331,Marketing ngân hàng,-1.0,2
MK333,Marketing dịch vụ,5.2,2
NW212,Mạng máy tính,5.0,2
NW312A,Thiết kế quản trị mạng,0.0,4
PE201,Tiếng Anh trong tin học 1A,5.8,2
PE302,Tiếng Anh trong tin học 1B,7.1,2
PE303,Tiếng Anh trong tin học 2A,6.8,2
PE404,Tiếng Anh trong tin học 2B,7.2,2
SE302,Công nghệ phần mềm,5.1,2
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
