Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,5.8,2
CS121,Ngôn ngữ lập trình,7.0,3
CS122,Lập trình hướng đối tượng,5.1,3
EC101,Kinh tế học đại cương,5.0,3
GE100,Tiếng Anh cho người mới bắt đầu,5.4,2
GE101A,Tiếng Anh sơ cấp 1,6.1,2
GE102A,Tiếng Anh sơ cấp 2,5.6,2
GE201A,Tiếng Anh sơ trung cấp 1,0.0,2
GE202A,Tiếng Anh sơ trung cấp 2,2.0,2
GF101,Tiếng Pháp 1,5.2,2
GF102,Tiếng Pháp 2,0.0,2
MA102,Toán cơ sở,6.4,3
ML111,Triết học Mác – Lênin,5.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,9.0,3
NA151,Khoa học môi trường,8.0,2
PG100,Giáo dục thể chất,6.6,4
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,0.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,8.0,1
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,-1.0,3
AD211,Văn hóa Hà Nội,6.2,2
CF201,Lý thuyết thuật toán,5.5,3
CS110,Kỹ thuật số,5.9,2
CS212A,Kiến trúc máy tính 1,6.5,2
CS223,Lập trình Java,5.0,3
CS315,Nguyên lý hệ điều hành,0.0,3
CS324,Kỹ thuật lập trình,0.0,2
CS325,Lập trình PHP,0.0,3
EC203,Kinh tế vĩ mô,-1.0,2
IS222,Cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,2.0,3
IS333,Phân tích thiết kế hệ thống thông tin,7.5,2
MA110A,Giải tích 1A,7.0,2
MA231,Xác suất thống kê ứng dụng,0.0,4
MI201,Toán rời rạc,0.0,3
MI312,Đồ họa,0.0,2
MK201,Nguyên lý marketing,-1.0,2
NW212,Mạng máy tính,5.0,2
