Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.8,2
CS102,Công dân số,6.8,2
CS121,Ngôn ngữ lập trình,5.3,3
CS122,Lập trình hướng đối tượng,7.1,3
EC102,Nhập môn kinh tế học,6.8,2
GE101,Tiếng Anh sơ cấp 1,7.6,2
GE102,Tiếng Anh sơ cấp 2,7.4,2
GE103,Tiếng Anh sơ cấp 3,6.3,2
GE201,Tiếng Anh sơ trung cấp 1,6.0,2
GE202,Tiếng Anh sơ trung cấp 2,5.9,2
GE205,Tiếng Anh sơ trung cấp 3,5.9,2
GE231,Tiếng Anh trung cấp 1,6.0,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GZ101,Tiếng Trung 1,7.0,2
GZ102,Tiếng Trung 2,5.3,2
IS314,Hệ thống thông tin,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.8,3
MA104,Số và cấu trúc đại số,5.6,3
MA239,Xác suất thống kê,4.3,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.0,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,7.6,2
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML204,Lịch sử Đảng,8.3,2
NA151,Khoa học môi trường,8.3,2
PG100,Giáo dục thể chất,6.8,4
PG121,Giáo dục quốc phòng,6.7,4
SH131,Pháp luật đại cương,9.4,2
VL101,Tiếng Việt thực hành,7.6,2
AD215,Ứng dụng PowerPoint,8.7,3
AD216,Kỹ năng sống,0.0,3
CF212,Cấu trúc dữ liệu,6.0,3
CS110,Kỹ thuật số,9.1,2
CS212,Kiến trúc máy tính,6.7,3
CS315,Nguyên lý hệ điều hành,9.0,3
IM206,ứng dụng Excel,9.0,2
IS222,Cơ sở dữ liệu,6.3,3
IS322,Hệ quản trị cơ sở dữ liệu,7.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.3,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,6.9,3
MI201,Toán rời rạc,6.4,3
NW212,Mạng máy tính,6.0,2
