Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.5,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,7.8,2
GE102A,Tiếng Anh sơ cấp 2,7.5,2
GE201,Tiếng Anh sơ trung cấp 1,3.5,2
GE202,Tiếng Anh sơ trung cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",7.5,3
ML111,Triết học Mác – Lênin,7.6,2
ML202,Tư tưởng Hồ Chí Minh,2.7,2
NA151,Khoa học môi trường,5.8,2
PG121,Giáo dục quốc phòng,6.1,4
SH131,Pháp luật đại cương,5.2,2
VL101,Tiếng Việt thực hành,9.0,2
CS110,Kỹ thuật số,-1.0,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.0,3
