Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.9,2
CS102,Công dân số,9.1,2
CS121,Ngôn ngữ lập trình,8.3,3
CS122,Lập trình hướng đối tượng,7.1,3
EC101,Kinh tế học đại cương,8.0,3
EC102,Nhập môn kinh tế học,8.2,2
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,7.8,2
GE121,Tiếng Anh sơ trung cấp 1,6.6,2
GE222,Tiếng Anh sơ trung cấp 2,6.5,2
GE231,Tiếng Anh trung cấp 1,7.3,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GK101,Tiếng Hàn 1,7.6,2
GK102,Tiếng Hàn 2,9.6,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.7,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,9.4,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.7,2
NA151,Khoa học môi trường,9.3,2
PG106,GDTC: Bóng bàn cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG115,GDTC: Bóng chuyền cơ bản,6.1,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG121,Giáo dục quốc phòng,5.4,4
SH131,Pháp luật đại cương,9.2,2
VL101,Tiếng Việt thực hành,7.3,2
CS212,Kiến trúc máy tính,6.4,3
FN334,Đầu tư chứng khoán,0.0,2
IS222,Cơ sở dữ liệu,10.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,4.6,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,7.6,3
MI201,Toán rời rạc,7.2,3
