Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.7,2
CS110,Kỹ thuật số,7.2,2
CS121,Ngôn ngữ lập trình,0.0,3
CS212,Kiến trúc máy tính,-1.0,3
EC101,Kinh tế học đại cương,5.6,3
EC102,Nhập môn kinh tế học,5.9,2
GE101,Tiếng Anh sơ cấp 1,7.1,2
GE102,Tiếng Anh sơ cấp 2,4.9,2
GF101,Tiếng Pháp 1,0.0,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.4,3
MA120,Đại số tuyến tính,-1.0,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,6.6,2
ML115,Chủ nghĩa xã hội khoa học,8.0,2
ML202,Tư tưởng Hồ Chí Minh,8.2,2
ML204,Lịch sử Đảng,6.3,2
NA151,Khoa học môi trường,9.1,2
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,7.5,2
AD215,Ứng dụng PowerPoint,-1.0,3
IM206,ứng dụng Excel,-1.0,2
