Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS110,Kỹ thuật số,4.6,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,8.0,3
CS212,Kiến trúc máy tính,0.0,3
EC102,Nhập môn kinh tế học,8.2,2
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,6.1,2
GE121,Tiếng Anh sơ trung cấp 1,5.6,2
GE222,Tiếng Anh sơ trung cấp 2,5.8,2
GE231,Tiếng Anh trung cấp 1,6.0,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GZ101,Tiếng Trung 1,8.9,2
GZ102,Tiếng Trung 2,9.8,2
IS222,Cơ sở dữ liệu,8.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.9,3
MA110,Giải tích 1,6.0,3
MA120,Đại số tuyến tính,5.7,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,4.0,3
ML113,Triết học Mác - Lênin,8.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,9.1,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,8.7,2
NW212,Mạng máy tính,0.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,6.7,1
PG106,GDTC: Bóng bàn cơ bản,5.9,1
PG118,GDTC: Thể dục cơ bản,10.0,1
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,8.1,2
AI130,Nhập môn trí tuệ nhân tạo,7.9,3
