Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS121,Ngôn ngữ lập trình,5.9,3
CS122,Lập trình hướng đối tượng,6.6,3
EC102,Nhập môn kinh tế học,7.7,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,7.4,2
GE103,Tiếng Anh sơ cấp 3,8.5,2
GE201,Tiếng Anh sơ trung cấp 1,7.9,2
GE202,Tiếng Anh sơ trung cấp 2,8.2,2
GE205,Tiếng Anh sơ trung cấp 3,8.1,2
GE301,Tiếng Anh trung cấp 1,8.0,2
GE303,Tiếng Anh trung cấp 2,7.7,2
GE305,Tiếng Anh trung cấp 3,8.3,2
GZ101,Tiếng Trung 1,9.6,2
GZ102,Tiếng Trung 2,9.3,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IS325,Cơ sở dữ liệu phân tán,5.3,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.2,3
MA103,Số và cấu trúc đại số,6.6,2
ML111,Triết học Mác – Lênin,8.2,2
ML112,Kinh tế chính trị và CNXH khoa học,7.6,3
ML202,Tư tưởng Hồ Chí Minh,7.5,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.2,3
NA151,Khoa học môi trường,7.4,2
PG100,Giáo dục thể chất,7.0,4
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.3,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,2.4,1
SH131,Pháp luật đại cương,7.6,2
VL101,Tiếng Việt thực hành,8.2,2
CF212,Cấu trúc dữ liệu,5.6,3
CS110,Kỹ thuật số,7.8,2
CS212,Kiến trúc máy tính,7.9,3
CS223,Lập trình Java,8.0,3
CS315,Nguyên lý hệ điều hành,6.6,3
IS222,Cơ sở dữ liệu,7.5,3
IS314,Hệ thống thông tin,7.2,3
IS315,Mô hình hóa quy trình nghiệp vụ,8.1,2
IS316,Hạ tầng công nghệ thông tin,8.5,3
IS322,Hệ quản trị cơ sở dữ liệu,1.2,3
IS326,Khai phá dữ liệu,-1.0,3
IS327,Kho dữ liệu,8.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.7,3
IS334,Quản lý dự án hệ thống thông tin,-1.0,3
IS383,Hệ thống thông tin nâng cao,7.8,2
IS480,Kiến trúc doanh nghiệp,-1.0,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,2.4,3
MA120,Đại số tuyến tính,6.7,3
MA231,Xác suất thống kê ứng dụng,3.0,4
MI201,Toán rời rạc,7.6,3
NW212,Mạng máy tính,8.0,2
SE302,Công nghệ phần mềm,6.9,2
SM201,Phương pháp luận nghiên cứu khoa học,7.4,3
