Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,8.5,3
CS100,Tin đại cương,5.5,2
CS102,Công dân số,7.3,2
CS121,Ngôn ngữ lập trình,8.2,3
CS122,Lập trình hướng đối tượng,5.5,3
EC102,Nhập môn kinh tế học,7.4,2
GE101,Tiếng Anh sơ cấp 1,7.2,2
GE102,Tiếng Anh sơ cấp 2,7.9,2
GE103,Tiếng Anh sơ cấp 3,6.8,2
GE121,Tiếng Anh sơ trung cấp 1,5.2,2
GE222,Tiếng Anh sơ trung cấp 2,6.0,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GZ101,Tiếng Trung 1,6.6,2
GZ102,Tiếng Trung 2,6.3,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.7,3
MA104,Số và cấu trúc đại số,3.5,3
MA239,Xác suất thống kê,4.1,4
MA300,Toán chuyên ngành truyền thông dữ liệu,4.3,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.8,2
ML115,Chủ nghĩa xã hội khoa học,8.3,2
ML202,Tư tưởng Hồ Chí Minh,9.2,2
ML204,Lịch sử Đảng,8.2,2
NA151,Khoa học môi trường,8.8,2
PG100,Giáo dục thể chất,6.6,4
PG121,Giáo dục quốc phòng,7.2,4
SH131,Pháp luật đại cương,9.3,2
TC300,Mô hình hóa và mô phỏng,0.0,3
VL101,Tiếng Việt thực hành,7.6,2
AD240,Nhiếp ảnh cơ bản,10.0,3
AD241,Dẫn chương trình (MC),9.5,3
CF212,Cấu trúc dữ liệu,-1.0,3
CF231,Lý thuyết thông tin và mã hóa,4.0,2
CF321,Xử lý tín hiệu số,0.0,3
CS110,Kỹ thuật số,9.1,2
CS212,Kiến trúc máy tính,5.7,3
CS315,Nguyên lý hệ điều hành,8.3,3
IS222,Cơ sở dữ liệu,6.3,3
MA110,Giải tích 1,3.8,3
MA111,Giải tích 2,4.1,3
MA120,Đại số tuyến tính,6.3,3
MI201,Toán rời rạc,8.1,3
NW212,Mạng máy tính,5.2,2
TC314,Kỹ thuật kết nối mạng,0.0,3
