Mã HP,Tên HP,Điểm,Số TC
CF300,Ngôn ngữ toán học,6.5,3
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,7.2,3
CS122,Lập trình hướng đối tượng,5.0,3
CS320,Học máy,7.0,3
CS330,Bảo mật thông tin,7.4,3
EC102,Nhập môn kinh tế học,6.4,2
EC204,Kinh tế vi mô,5.6,3
EC205,Kinh tế vĩ mô,5.4,3
EC313,Mô hình hóa và ứng dụng,7.7,3
GE100,Tiếng Anh cho người mới bắt đầu,7.9,2
GE101A,Tiếng Anh sơ cấp 1,7.1,2
GE102A,Tiếng Anh sơ cấp 2,6.9,2
GE103,Tiếng Anh sơ cấp 3,-1.0,2
GE201A,Tiếng Anh sơ trung cấp 1,6.2,2
GE202A,Tiếng Anh sơ trung cấp 2,4.0,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,5.0,2
GE204,Kỹ năng giao tiếp tiếng Anh 2,5.7,2
GE305,Tiếng Anh trung cấp 3,4.0,2
GJ101,Tiếng Nhật 1,8.5,2
GJ102,Tiếng Nhật 2,7.5,2
IS223,Cơ sở dữ liệu và khai phá dữ liệu,5.1,3
IS314,Hệ thống thông tin,6.4,3
IS329,Dữ liệu lớn,6.0,3
IS430,Công nghệ Blockchain,6.9,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
MA103,Số và cấu trúc đại số,5.0,2
MA104,Số và cấu trúc đại số,10.0,3
MA213,Phương trình vi phân,5.0,3
MA215,Topology,5.0,2
MA216,Giải tích lồi,5.0,2
MA225,Các không gian hàm và phép tính sai phân,6.5,3
MA234,Thống Kê,6.6,2
MI332,Thực hành tính toán,7.8,3
ML111,Triết học Mác – Lênin,7.5,2
ML112,Kinh tế chính trị và CNXH khoa học,5.2,3
ML202,Tư tưởng Hồ Chí Minh,7.6,2
NA151,Khoa học môi trường,6.6,2
PG100,Giáo dục thể chất,5.9,4
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,5.0,2
ST450,Toeic,6.0,3
VL101,Tiếng Việt thực hành,7.5,2
CF201,Lý thuyết thuật toán,5.6,3
CF212,Cấu trúc dữ liệu,8.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.1,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,6.3,3
MA120,Đại số tuyến tính,9.5,3
MA230,Xác suất,5.0,3
MA313,Hàm biến phức,6.6,2
MA323,Số học thuật toán,9.0,2
MA340,Giải tích số,5.2,3
MI201,Toán rời rạc,5.0,3
MI302,Tối ưu hóa,6.2,2
MI321,Trí tuệ nhân tạo,7.8,3
MI489,KLTN: Toán ứng dụng,8.3,6
NW212,Mạng máy tính,6.9,2
