Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.9,2
CS110,Kỹ thuật số,2.3,2
CS121,Ngôn ngữ lập trình,2.1,3
CS122,Lập trình hướng đối tượng,6.8,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GF101,Tiếng Pháp 1,2.6,2
GJ101,Tiếng Nhật 1,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.6,3
MA104,Số và cấu trúc đại số,5.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,7.1,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,1.5,3
ML111,Triết học Mác – Lênin,7.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.1,3
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML204,Lịch sử Đảng,2.6,2
PG122,GDQP: Đường lối quân sự của Đảng,7.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,3.9,1
PG124,GDQP: Quân sự chung,6.7,1
PG125,GDQP: Kỹ thuật bắn súng,6.7,1
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,2.1,2
AD215,Ứng dụng PowerPoint,-1.0,3
