Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.1,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.9,2
GE101A,Tiếng Anh sơ cấp 1,5.5,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.4,2
GE202A,Tiếng Anh sơ trung cấp 2,6.1,2
GF101,Tiếng Pháp 1,5.2,2
GF102,Tiếng Pháp 2,5.3,2
GJ101,Tiếng Nhật 1,5.0,2
IM201,Kỹ năng soạn thảo VB (MS office),8.8,3
IP401,Thực tập ngành Khoa học máy tính,7.0,2
IS314,Hệ thống thông tin,5.1,3
MA102,Toán cơ sở,6.1,3
ML111,Triết học Mác – Lênin,7.4,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,9.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.6,3
NA151,Khoa học môi trường,5.0,2
PG100,Giáo dục thể chất,8.3,4
PG121,Giáo dục quốc phòng,6.1,4
SH131,Pháp luật đại cương,6.1,2
VL101,Tiếng Việt thực hành,6.0,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.0,3
CF212,Cấu trúc dữ liệu,5.0,3
CF301,Ngôn ngữ hình thức và Otomat,6.4,3
CS110,Kỹ thuật số,7.3,2
CS212,Kiến trúc máy tính,5.8,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS316,Hệ điều hành Unix,6.0,3
CS499,KLTN ngành Khoa học máy tính,0.0,6
IS222,Cơ sở dữ liệu,6.1,3
IS322,Hệ quản trị cơ sở dữ liệu,6.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,6.0,4
MI201,Toán rời rạc,5.0,3
MI311,Mã hóa và an toàn dữ liệu,4.0,2
MI312,Đồ họa,7.8,2
MI321,Trí tuệ nhân tạo,6.2,3
MI414,Giao diện người máy,5.0,2
NW212,Mạng máy tính,5.6,2
NW312,Thiết kế và quản trị mạng,6.0,3
NW332,An toàn mạng,7.2,3
PE201,Tiếng Anh trong tin học 1A,5.3,2
PE302,Tiếng Anh trong tin học 1B,7.2,2
PE303,Tiếng Anh trong tin học 2A,5.4,2
PE404,Tiếng Anh trong tin học 2B,5.8,2
SE302,Công nghệ phần mềm,5.9,2
SM201,Phương pháp luận nghiên cứu khoa học,7.0,3
