Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,8.1,3
CS100,Tin đại cương,9.2,2
CS101,Công dân số,9.0,2
CS110,Kỹ thuật số,6.0,2
CS121,Ngôn ngữ lập trình,7.6,3
CS122,Lập trình hướng đối tượng,8.3,3
CS212,Kiến trúc máy tính,5.9,3
EC102,Nhập môn kinh tế học,7.8,2
GE101,Tiếng Anh sơ cấp 1,7.8,2
GE102,Tiếng Anh sơ cấp 2,7.8,2
GE103,Tiếng Anh sơ cấp 3,6.7,2
GE201,Tiếng Anh sơ trung cấp 1,5.9,2
GE202,Tiếng Anh sơ trung cấp 2,6.3,2
GE205,Tiếng Anh sơ trung cấp 3,5.5,2
GE231,Tiếng Anh trung cấp 1,6.3,2
GE232,Tiếng Anh trung cấp 2,2.4,2
GZ101,Tiếng Trung 1,9.6,2
GZ102,Tiếng Trung 2,8.4,2
IP405,Thực tập ngành Trí tuệ nhân tạo,9.0,3
IS222,Cơ sở dữ liệu,5.8,3
IT320,Phát triển ứng dụng với Python,4.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.0,3
MA110,Giải tích 1,4.8,3
MA111,Giải tích 2,8.3,3
MA120,Đại số tuyến tính,7.7,3
MA230,Xác suất,8.1,3
MA234,Thống Kê,6.0,2
MI201,Toán rời rạc,10.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML113,Triết học Mác - Lênin,9.2,3
ML114,Kinh tế chính trị Mác - Lênin,7.6,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML202,Tư tưởng Hồ Chí Minh,8.9,2
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,8.8,2
NW212,Mạng máy tính,5.5,2
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,6.2,2
AD215,Ứng dụng PowerPoint,7.1,3
AD216,Kỹ năng sống,7.7,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,9.2,3
AI310,Học sâu,7.2,3
AI320,Xử lý ngôn ngữ tự nhiên,5.5,3
AI321,Thị giác máy tính,8.7,3
AI485,CĐTN: Ngành Trí tuệ nhân tạo,0.0,6
CF211,Phân tích và thiết kế thuật toán,7.8,2
CS320,Học máy,4.6,3
CS321,Nhập môn khoa học dữ liệu,4.7,2
IS314,Hệ thống thông tin,9.5,3
IS326,Khai phá dữ liệu,5.6,3
IS330,Dữ liệu lớn,9.1,2
IT333,Công nghệ Web,2.3,3
MA238,Thống kê nâng cao,4.3,3
MI302,Tối ưu hóa,1.9,2
