Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.7,2
CS102,Công dân số,0.0,2
CS121,Ngôn ngữ lập trình,4.2,3
CS122,Lập trình hướng đối tượng,7.1,3
GE111,Tiếng Anh sơ cấp 1,7.7,2
GE112,Tiếng Anh sơ cấp 2,6.7,2
GE121,Tiếng Anh sơ trung cấp 1,6.6,2
GE222,Tiếng Anh sơ trung cấp 2,6.3,2
GF101,Tiếng Pháp 1,8.0,2
GF102,Tiếng Pháp 2,9.8,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA104,Số và cấu trúc đại số,4.9,3
ML113,Triết học Mác - Lênin,8.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.4,2
ML115,Chủ nghĩa xã hội khoa học,9.6,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.7,2
NA151,Khoa học môi trường,9.2,2
PG113,GDTC: Bóng rổ cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,0.0,1
PG121,Giáo dục quốc phòng,6.9,4
SC201,Kỹ năng giao tiếp và thuyết trình,10.0,2
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,7.2,2
AD215,Ứng dụng PowerPoint,0.0,3
CS110,Kỹ thuật số,4.7,2
CS212,Kiến trúc máy tính,6.8,3
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,7.2,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,4.5,3
MI201,Toán rời rạc,0.0,3
