Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.8,2
CS102,Công dân số,0.0,2
CS110,Kỹ thuật số,4.9,2
CS121,Ngôn ngữ lập trình,6.1,3
CS122,Lập trình hướng đối tượng,4.7,3
CS212,Kiến trúc máy tính,6.7,3
GE111,Tiếng Anh sơ cấp 1,6.2,2
GE112,Tiếng Anh sơ cấp 2,4.6,2
GE121,Tiếng Anh sơ trung cấp 1,5.0,2
GE222,Tiếng Anh sơ trung cấp 2,5.3,2
GJ101,Tiếng Nhật 1,4.8,2
IS222,Cơ sở dữ liệu,7.1,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.0,3
MA104,Số và cấu trúc đại số,4.4,3
MA110,Giải tích 1,2.7,3
MA120,Đại số tuyến tính,7.5,3
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,7.9,3
ML114,Kinh tế chính trị Mác - Lênin,5.5,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML204,Lịch sử Đảng,4.7,2
NW212,Mạng máy tính,0.0,2
PG110,GDTC: Bơi cơ bản,5.9,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
SH131,Pháp luật đại cương,6.4,2
VL101,Tiếng Việt thực hành,5.6,2
