Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,5.5,2
GE111,Tiếng Anh sơ cấp 1,5.9,2
GE112,Tiếng Anh sơ cấp 2,-1.0,2
GF101,Tiếng Pháp 1,0.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.0,3
MA104,Số và cấu trúc đại số,3.9,3
ML113,Triết học Mác - Lênin,7.6,3
ML114,Kinh tế chính trị Mác - Lênin,6.8,2
ML115,Chủ nghĩa xã hội khoa học,7.5,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,7.7,2
PG118,GDTC: Thể dục cơ bản,5.8,1
PG121,Giáo dục quốc phòng,7.4,4
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,6.9,2
AD216,Kỹ năng sống,9.5,3
CS110,Kỹ thuật số,5.2,2
CS212,Kiến trúc máy tính,2.4,3
IS222,Cơ sở dữ liệu,0.0,3
MI201,Toán rời rạc,0.0,3
