Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.5,2
CS121,Ngôn ngữ lập trình,6.2,3
CS122,Lập trình hướng đối tượng,0.0,3
GE100,Tiếng Anh cho người mới bắt đầu,7.0,2
GE101A,Tiếng Anh sơ cấp 1,6.0,2
GE102A,Tiếng Anh sơ cấp 2,6.7,2
GE201A,Tiếng Anh sơ trung cấp 1,6.4,2
GE202A,Tiếng Anh sơ trung cấp 2,7.1,2
GF101,Tiếng Pháp 1,-1.0,2
MA102,Toán cơ sở,0.0,3
MA110A,Giải tích 1A,0.0,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,8.2,2
ML112B,Chủ nghĩa xã hội khoa học,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,0.0,3
NA151,Khoa học môi trường,8.0,2
PG101,GDTC: Lý thuyết,-1.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG104,GDTC: Cầu lông cơ bản,0.0,1
PG121,Giáo dục quốc phòng,7.3,4
SH131,Pháp luật đại cương,0.0,2
CF201,Lý thuyết thuật toán,0.0,3
CS110,Kỹ thuật số,0.0,2
MA212,Phương trình vi phân,0.0,2
MI201,Toán rời rạc,0.0,3
MI312,Đồ họa,0.0,2
PE201,Tiếng Anh trong tin học 1A,-1.0,2
