Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,6.2,2
CS100,Tin đại cương,6.6,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.1,3
CS320,Học máy,6.6,3
EC102,Nhập môn kinh tế học,4.2,2
GE101,Tiếng Anh sơ cấp 1,5.8,2
GE102,Tiếng Anh sơ cấp 2,6.1,2
GE103,Tiếng Anh sơ cấp 3,4.0,2
GJ101,Tiếng Nhật 1,8.6,2
GJ102,Tiếng Nhật 2,6.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.6,3
MA104,Số và cấu trúc đại số,5.5,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML111,Triết học Mác – Lênin,6.2,2
ML112,Kinh tế chính trị và CNXH khoa học,6.1,3
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML204,Lịch sử Đảng,5.8,2
NA151,Khoa học môi trường,8.9,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG115,GDTC: Bóng chuyền cơ bản,7.3,1
PG118,GDTC: Thể dục cơ bản,3.5,1
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,7.2,2
VL101,Tiếng Việt thực hành,7.0,2
AD216,Kỹ năng sống,9.0,3
AD241,Dẫn chương trình (MC),-1.0,3
AD243,Hội họa cơ bản,-1.0,3
CF211,Phân tích và thiết kế thuật toán,4.9,2
CF212,Cấu trúc dữ liệu,4.0,3
CS110,Kỹ thuật số,7.7,2
CS212,Kiến trúc máy tính,1.4,3
CS223,Lập trình Java,2.0,3
CS315,Nguyên lý hệ điều hành,2.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,6.9,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,7.5,3
MA231,Xác suất thống kê ứng dụng,5.2,4
MI201,Toán rời rạc,5.8,3
MI312,Đồ họa,1.5,2
NW212,Mạng máy tính,6.7,2
