Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.6,2
CS102,Công dân số,5.1,2
CS121,Ngôn ngữ lập trình,6.4,3
CS122,Lập trình hướng đối tượng,6.9,3
EC102,Nhập môn kinh tế học,8.0,2
GE101,Tiếng Anh sơ cấp 1,6.8,2
GE102,Tiếng Anh sơ cấp 2,6.8,2
GE103,Tiếng Anh sơ cấp 3,5.6,2
GE121,Tiếng Anh sơ trung cấp 1,4.9,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,9.0,2
GJ102,Tiếng Nhật 2,8.6,2
IS314,Hệ thống thông tin,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.8,3
MA104,Số và cấu trúc đại số,4.9,3
MA239,Xác suất thống kê,4.2,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.1,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,9.1,2
ML202,Tư tưởng Hồ Chí Minh,8.9,2
ML204,Lịch sử Đảng,8.7,2
NA151,Khoa học môi trường,8.5,2
PG100,Giáo dục thể chất,6.5,4
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,8.1,2
AD215,Ứng dụng PowerPoint,9.3,3
AD216,Kỹ năng sống,0.0,3
CF212,Cấu trúc dữ liệu,7.8,3
CS110,Kỹ thuật số,9.9,2
CS212,Kiến trúc máy tính,7.1,3
CS315,Nguyên lý hệ điều hành,8.2,3
CS321,Nhập môn khoa học dữ liệu,10.0,2
IM206,ứng dụng Excel,8.4,2
IS222,Cơ sở dữ liệu,7.2,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.8,3
MA110,Giải tích 1,7.0,3
MA111,Giải tích 2,6.3,3
MA120,Đại số tuyến tính,7.5,3
MI201,Toán rời rạc,6.7,3
MI312,Đồ họa,8.5,2
NW212,Mạng máy tính,7.0,2
