Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,6.7,2
CS102,Công dân số,2.8,2
CS121,Ngôn ngữ lập trình,6.9,3
CS122,Lập trình hướng đối tượng,4.9,3
EC102,Nhập môn kinh tế học,5.3,2
GE111,Tiếng Anh sơ cấp 1,4.9,2
IS222,Cơ sở dữ liệu,5.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.3,3
MA110,Giải tích 1,3.9,3
MA120,Đại số tuyến tính,5.4,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,8.4,3
ML113,Triết học Mác - Lênin,7.3,3
ML114,Kinh tế chính trị Mác - Lênin,7.2,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,8.3,2
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG118,GDTC: Thể dục cơ bản,0.0,1
SH131,Pháp luật đại cương,7.8,2
VL101,Tiếng Việt thực hành,6.1,2
AI130,Nhập môn trí tuệ nhân tạo,5.9,3
