Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.3,3
CS100,Tin đại cương,7.5,2
CS102,Công dân số,7.3,2
CS110,Kỹ thuật số,7.4,2
CS121,Ngôn ngữ lập trình,4.7,3
CS122,Lập trình hướng đối tượng,6.7,3
CS212,Kiến trúc máy tính,6.7,3
EC102,Nhập môn kinh tế học,6.9,2
GE101,Tiếng Anh sơ cấp 1,7.1,2
GE102,Tiếng Anh sơ cấp 2,5.0,2
GE103,Tiếng Anh sơ cấp 3,6.1,2
GE201,Tiếng Anh sơ trung cấp 1,4.8,2
GE202,Tiếng Anh sơ trung cấp 2,5.1,2
GE205,Tiếng Anh sơ trung cấp 3,4.6,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GZ101,Tiếng Trung 1,9.4,2
GZ102,Tiếng Trung 2,7.9,2
IS222,Cơ sở dữ liệu,4.3,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.7,3
MA104,Số và cấu trúc đại số,6.1,3
MA110,Giải tích 1,4.3,3
MA111,Giải tích 2,6.4,3
MA120,Đại số tuyến tính,5.5,3
MA239,Xác suất thống kê,5.3,4
MI201,Toán rời rạc,7.2,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,7.7,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
NA151,Khoa học môi trường,8.2,2
NW212,Mạng máy tính,5.9,2
PG106,GDTC: Bóng bàn cơ bản,7.3,1
PG113,GDTC: Bóng rổ cơ bản,0.0,1
PG115,GDTC: Bóng chuyền cơ bản,8.6,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,8.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,2.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,7.0,1
SH131,Pháp luật đại cương,6.7,2
VL101,Tiếng Việt thực hành,8.7,2
AD216,Kỹ năng sống,9.3,3
AD312,Bóng đá,10.0,4
CS314,Lập trình ứng dụng di động,0.0,2
CS315,Nguyên lý hệ điều hành,9.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
