Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.4,2
CS102,Công dân số,5.5,2
CS121,Ngôn ngữ lập trình,2.5,3
CS122,Lập trình hướng đối tượng,3.2,3
EC102,Nhập môn kinh tế học,3.1,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,9.0,2
GE103,Tiếng Anh sơ cấp 3,7.4,2
GE201,Tiếng Anh sơ trung cấp 1,6.6,2
GE202,Tiếng Anh sơ trung cấp 2,6.0,2
GE205,Tiếng Anh sơ trung cấp 3,5.3,2
GE232,Tiếng Anh trung cấp 2,5.0,2
GE301,Tiếng Anh trung cấp 1,4.9,2
GE333,Tiếng Anh trung cấp 3,0.0,2
GF101,Tiếng Pháp 1,6.1,2
GF102,Tiếng Pháp 2,5.8,2
IS314,Hệ thống thông tin,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,9.3,2
ML115,Chủ nghĩa xã hội khoa học,8.0,2
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML204,Lịch sử Đảng,7.1,2
NA151,Khoa học môi trường,8.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,2.9,1
PG106,GDTC: Bóng bàn cơ bản,6.3,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,5.6,1
PG120,Thể dục cơ bản nâng cao,8.5,1
PG121,Giáo dục quốc phòng,6.0,4
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,6.8,2
AD216,Kỹ năng sống,9.6,3
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,7.7,2
CS212,Kiến trúc máy tính,4.9,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
CS425,Một số vấn đề hiện đại trong khoa học máy tính,9.0,2
IS222,Cơ sở dữ liệu,4.6,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,3.6,3
MA111,Giải tích 2,3.1,3
MA120,Đại số tuyến tính,4.3,3
MI201,Toán rời rạc,4.5,3
NW212,Mạng máy tính,0.0,2
