Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS110,Kỹ thuật số,-1.0,2
EC102,Nhập môn kinh tế học,0.0,2
GE111,Tiếng Anh sơ cấp 1,6.6,2
GE112,Tiếng Anh sơ cấp 2,6.5,2
GE121,Tiếng Anh sơ trung cấp 1,5.2,2
GE222,Tiếng Anh sơ trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,0.0,2
GZ101,Tiếng Trung 1,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",2.3,3
MA104,Số và cấu trúc đại số,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
ML113,Triết học Mác - Lênin,7.7,3
ML114,Kinh tế chính trị Mác - Lênin,6.0,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,6.2,2
PG113,GDTC: Bóng rổ cơ bản,8.6,1
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,4.4,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,0.0,3
