Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,9.6,3
CS100,Tin đại cương,10.0,2
CS102,Công dân số,7.9,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,0.0,3
EC102,Nhập môn kinh tế học,9.4,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,6.5,2
GE103,Tiếng Anh sơ cấp 3,4.0,2
GE121,Tiếng Anh sơ trung cấp 1,4.0,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,7.3,2
IP405,Thực tập ngành Trí tuệ nhân tạo,0.0,3
IS222,Cơ sở dữ liệu,9.9,3
IT320,Phát triển ứng dụng với Python,7.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.7,3
MA110,Giải tích 1,10.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,9.4,3
MA239,Xác suất thống kê,10.0,4
MI201,Toán rời rạc,7.8,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML202,Tư tưởng Hồ Chí Minh,9.5,2
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,8.9,2
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,8.0,1
PG115,GDTC: Bóng chuyền cơ bản,4.2,1
PG118,GDTC: Thể dục cơ bản,7.9,1
SH131,Pháp luật đại cương,9.7,2
VL101,Tiếng Việt thực hành,8.8,2
AD215,Ứng dụng PowerPoint,0.0,3
AD216,Kỹ năng sống,9.7,3
AI130,Nhập môn trí tuệ nhân tạo,9.8,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,9.5,3
AI310,Học sâu,9.3,3
AI320,Xử lý ngôn ngữ tự nhiên,7.3,3
AI321,Thị giác máy tính,9.7,3
CF211,Phân tích và thiết kế thuật toán,0.0,2
CS320,Học máy,9.0,3
CS321,Nhập môn khoa học dữ liệu,10.0,2
IS326,Khai phá dữ liệu,8.0,3
IS330,Dữ liệu lớn,9.9,2
IS332,Phân tích thiết kế hướng đối tượng,8.5,3
MA238,Thống kê nâng cao,7.9,3
MI302,Tối ưu hóa,4.0,2
