Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,1.8,2
CS121,Ngôn ngữ lập trình,5.2,3
CS122,Lập trình hướng đối tượng,5.6,3
EC102,Nhập môn kinh tế học,2.0,2
GE101,Tiếng Anh sơ cấp 1,7.3,2
GE102,Tiếng Anh sơ cấp 2,6.7,2
GE103,Tiếng Anh sơ cấp 3,6.4,2
GE201,Tiếng Anh sơ trung cấp 1,6.2,2
GE202,Tiếng Anh sơ trung cấp 2,6.6,2
GE205,Tiếng Anh sơ trung cấp 3,5.0,2
GE301,Tiếng Anh trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,7.9,2
GJ102,Tiếng Nhật 2,6.2,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.1,3
MA103,Số và cấu trúc đại số,-1.0,2
MI322,Trí tuệ nhân tạo và công nghệ tri thức,9.3,3
ML111,Triết học Mác – Lênin,7.4,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
ML202,Tư tưởng Hồ Chí Minh,8.8,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.7,3
NA151,Khoa học môi trường,5.3,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG115,GDTC: Bóng chuyền cơ bản,2.7,1
PG121,Giáo dục quốc phòng,5.5,4
SH131,Pháp luật đại cương,2.4,2
VL101,Tiếng Việt thực hành,6.6,2
AD312,Bóng đá,8.3,4
CF212,Cấu trúc dữ liệu,1.2,3
CF301,Ngôn ngữ hình thức và Otomat,1.8,3
CS110,Kỹ thuật số,5.6,2
CS212,Kiến trúc máy tính,5.1,3
CS223,Lập trình Java,-1.0,3
CS315,Nguyên lý hệ điều hành,6.4,3
IS222,Cơ sở dữ liệu,3.8,3
IS322,Hệ quản trị cơ sở dữ liệu,4.4,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
MA110,Giải tích 1,1.6,3
MA120,Đại số tuyến tính,3.1,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,-1.0,3
MI312,Đồ họa,1.2,2
NW212,Mạng máy tính,1.4,2
SE302,Công nghệ phần mềm,7.1,2
SM201,Phương pháp luận nghiên cứu khoa học,3.2,3
