Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.3,2
CS121,Ngôn ngữ lập trình,1.2,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,9.3,2
GE102A,Tiếng Anh sơ cấp 2,8.8,2
GE201A,Tiếng Anh sơ trung cấp 1,6.6,2
GE202A,Tiếng Anh sơ trung cấp 2,6.8,2
GJ101,Tiếng Nhật 1,7.8,2
GJ102,Tiếng Nhật 2,2.7,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",4.5,3
ML111,Triết học Mác – Lênin,6.7,2
ML112,Kinh tế chính trị và CNXH khoa học,2.4,3
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.3,3
NA151,Khoa học môi trường,7.0,2
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG115,GDTC: Bóng chuyền cơ bản,2.4,1
PG118,GDTC: Thể dục cơ bản,3.0,1
PG122,GDQP: Đường lối quân sự của Đảng,1.8,1
PG123,GDQP: Công tác quốc phòng - an ninh,2.1,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,2.3,2
VL101,Tiếng Việt thực hành,5.8,2
AD312,Bóng đá,7.1,4
CS110,Kỹ thuật số,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
IS326,Khai phá dữ liệu,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
MI201,Toán rời rạc,1.8,3
PE201,Tiếng Anh trong tin học 1A,2.1,2
PE302,Tiếng Anh trong tin học 1B,-1.0,2
PE303,Tiếng Anh trong tin học 2A,5.3,2
SE302,Công nghệ phần mềm,-1.0,2
